track,artist,final_emotion,reason
Mutherfuker,Beck,anger,Track was not found
L.A. Blues,The Stooges,anger,Track was not found
Hollowpoint,Anybody Killa,anger,Track was not found
Tension,Orbital,anger,Track was not found
Rattlesnake,Boris,anger,Track was not found
Buckeye,Lamb of God,anger,Track was not found
孤独に死す、故に孤独。,DIR EN GREY,anger,Track was not found
I Love Secret Agents,The Dillinger Escape Plan,anger,Track was not found
Monticello,The Dillinger Escape Plan,anger,Track was not found
Andrew,Crystal Antlers,anger,Track was not found
Cokane in My Brain,Die Toten Hosen,anger,Track was not found
Schools Are Prisons,Sex Pistols,anger,Track was not found
Speedball,John Zorn,anger,Track was not found
羅刹国,DIR EN GREY,anger,Track was not found
Getdafucout,Onyx,anger,Track was not found
Cop Killer,Body Count,anger,Track was not found
Electronic Battle Weapon 9,The Chemical Brothers,anger,Track was not found
Blitz,Schelmish,anger,Track was not found
Damone,Deftones,anger,Track was not found
Statement,Boris,anger,Track was not found
Must Attack,Extrawelt,anger,Track was not found
This Love You Breathe,Eyes Set to Kill,anger,Track was not found
Super Bitch,Authority Zero,anger,Track was not found
Yuppie Cadillac,Jello Biafra with The Melvins,anger,Track was not found
AFX 114,Caustic Window,anger,Track was not found
Superloop,I Will Never Be The Same,anger,fetch failed
Rammlied (Thrash-Terpiece Remix),Rammstein,anger,fetch failed
Shift of Dismay,Youth Code,anger,fetch failed
