track,artist,track_clean,artist_clean,final_emotion
05,panda bear,,panda bear,fear
5,gas,,gas,fear
a ghost story,memphis,a ghost story,memphis,fear
agnus dei,akiko shikata (志方 あきこ),agnus dei,akiko shikata 志方 あきこ,anger
anxiety,temperament,anxiety,temperament,fear
arabesque,henry mancini & his orchestra,arabesque,henry mancini his orchestra,anger
at night,peter gabriel,at night,peter gabriel,fear
betray,大森俊之,betray,大森俊之,fear
big boy,the reds,big boy,the reds,anger
carnaval,しかたあきこ,carnaval,しかたあきこ,anger
chi vuol la zingarella (who wants the gypsy girl?),akiko shikaka,chi vuol la zingarella who wants the gypsy girl,akiko shikaka,anger
combat,univers zero,combat,univers zero,fear
contrasto,akiko shikata (志方 あきこ),contrasto,akiko shikata 志方 あきこ,anger
cruella de vil,disney,cruella de vil,disney,fear
dark moon,大森俊之,dark moon,大森俊之,fear
dry flower,井元ともこ,dry flower,井元ともこ,anger
electric death song,vinyl stickons,electric death song,vinyl stickons,anger
ende,archon satani,ende,archon satani,fear
euterpe - エウテルペ,vagrancy,euterpe エウテルペ,vagrancy,anger
evidence,eternia,evidence,eternia,anger
exec_chronicle_key/.,l-m-p (lost music planet),exec_chronicle_key,lmp lost music planet,anger
exec_with.method_metafalica/.,shikata akiko & shimotsuki haruka,exec_withmethod_metafalica,shikata akiko shimotsuki haruka,anger
fallen,gary numan,fallen,gary numan,fear
falling down,jehst,falling down,jehst,fear
forgotten waltz,lost music planet,forgotten waltz,lost music planet,anger
get up,50 htz,get up,htz,anger
gone too far,the reds,gone too far,the reds,anger
hammer,c-netik & gancher & ruin,hammer,cnetik gancher ruin,fear
heroin,john cale,heroin,john cale,fear
incantation,kevin kerrigan,incantation,kevin kerrigan,fear
i,cacogen,i,cacogen,fear
l'alba dei morti viventi,daemonia,lalba dei morti viventi,daemonia,fear
la sirene,井元ともこ,la sirene,井元ともこ,anger
last breath,aaron marshall,last breath,aaron marshall,fear
leviathan,christopher young,leviathan,christopher young,anger
lilybelle,geraldine fibbers,lilybelle,geraldine fibbers,fear
living sacrifice,井元ともこ,living sacrifice,井元ともこ,anger
lullaby,balanescu quartet,lullaby,balanescu quartet,fear
luna piena,akiko shikata (志方 あきこ),luna piena,akiko shikata 志方 あきこ,anger
madness,adrian belew,madness,adrian belew,anger
maze,大森俊之,maze,大森俊之,fear
memento mori,the cracow klezmer band,memento mori,the cracow klezmer band,fear
messages,maston,messages,maston,fear
necropolis,nine inch nails,necropolis,nine inch nails,fear
obsession,cabaret voltaire,obsession,cabaret voltaire,fear
oh smania! oh furie! ~ d'oreste e d'aiace,シカタ★アキコ,oh smania oh furie doreste e daiace,シカタアキコ,anger
ominous,punishment of scaphae,ominous,punishment of scaphae,fear
paranoia,harmonic 33,paranoia,harmonic 33,fear
paranoid,[unknown],paranoid,unknown,fear
parterre,志方あき,parterre,志方あき,anger
pet,katie paisant,pet,katie paisant,fear
pirates of the caribbean,井元ともこ,pirates of the caribbean,井元ともこ,anger
polymorphia,antoni wit,polymorphia,antoni wit,fear
premonitions,arbiter,premonitions,arbiter,fear
rape your god,xmh,rape your god,xmh,anger
riot,flying lotus,riot,flying lotus,anger
ruiner,the body,ruiner,the body,anger
scary,"kelley deal 6000, the",scary,kelley deal 6000 the,fear
seamless,tanya tagaq gillis,seamless,tanya tagaq gillis,fear
shelter,midland,shelter,midland,fear
six,john most,six,john most,fear
sneak,岩崎琢,sneak,岩崎琢,fear
some are,philip glass,some are,philip glass,anger
stay,astrobrite,stay,astrobrite,fear
strip tease,alain goraguer,strip tease,alain goraguer,fear
suiren,"pauline oliveros, stuart dempster & panaiotis",suiren,pauline oliveros stuart dempster panaiotis,fear
suspiria,claudio simonetti,suspiria,claudio simonetti,fear
syncope,x-fusion,syncope,xfusion,fear
syndrome,mariel ito,syndrome,mariel ito,anger
television,hans zimmer,television,hans zimmer,fear
thaleia - タレイア,vagrancy,thaleia タレイア,vagrancy,anger
the boss,joseph gershwin & the universal-international orchestra,the boss,joseph gershwin the universalinternational orchestra,anger
the lighthouse,hector zazou,the lighthouse,hector zazou,fear
the passage,ephel duath,the passage,ephel duath,anger
the wheel of fortune - fortuna,井元ともこ,the wheel of fortune fortuna,井元ともこ,anger
the wheel of fortune,井元ともこ,the wheel of fortune,井元ともこ,anger
trigger happy,counterstrike,trigger happy,counterstrike,anger
under control,sporto kantès,under control,sporto kantès,fear
wanted,nekromantix,wanted,nekromantix,fear
war,aadf,war,aadf,anger
work (poker face club mix),ciara feat. missy elliott,work poker face club mix,ciara feat missy elliott,anger
恋ヒ数え,música japonesa,恋ヒ数え,música japonesa,anger
Mutherfuker,Beck,mutherfuker,beck,anger
L.A. Blues,The Stooges,la blues,the stooges,anger
Hollowpoint,Anybody Killa,hollowpoint,anybody killa,anger
Tension,Orbital,tension,orbital,anger
Rattlesnake,Boris,rattlesnake,boris,anger
Buckeye,Lamb of God,buckeye,lamb of god,anger
孤独に死す、故に孤独。,DIR EN GREY,孤独に死す故に孤独,dir en grey,anger
I Love Secret Agents,The Dillinger Escape Plan,i love secret agents,the dillinger escape plan,anger
Monticello,The Dillinger Escape Plan,monticello,the dillinger escape plan,anger
Andrew,Crystal Antlers,andrew,crystal antlers,anger
Cokane in My Brain,Die Toten Hosen,cokane in my brain,die toten hosen,anger
Schools Are Prisons,Sex Pistols,schools are prisons,sex pistols,anger
Speedball,John Zorn,speedball,john zorn,anger
羅刹国,DIR EN GREY,羅刹国,dir en grey,anger
Getdafucout,Onyx,getdafucout,onyx,anger
Cop Killer,Body Count,cop killer,body count,anger
Electronic Battle Weapon 9,The Chemical Brothers,electronic battle weapon 9,the chemical brothers,anger
Blitz,Schelmish,blitz,schelmish,anger
Damone,Deftones,damone,deftones,anger
Statement,Boris,statement,boris,anger
Must Attack,Extrawelt,must attack,extrawelt,anger
This Love You Breathe,Eyes Set to Kill,this love you breathe,eyes set to kill,anger
Super Bitch,Authority Zero,super bitch,authority zero,anger
Yuppie Cadillac,Jello Biafra with The Melvins,yuppie cadillac,jello biafra with the melvins,anger
AFX 114,Caustic Window,afx 114,caustic window,anger
Transylvania Blues,Silver Jews,transylvania blues,silver jews,anger
Optimisitic,Radiohead,optimisitic,radiohead,anger
Happy Fucking Birthday,Combichrist,happy fucking birthday,combichrist,anger
I Want Love (Studio Mix),Mary Elizabeth McGlynn,i want love studio mix,mary elizabeth mcglynn,anger
Mondo Anthem,Chrome,mondo anthem,chrome,anger
The Monitors,Chrome,the monitors,chrome,anger
Bag Lady,Manic Street Preachers,bag lady,manic street preachers,anger
Dust,Crystal Antlers,dust,crystal antlers,anger
Anne Boleyn,The Pastels,anne boleyn,the pastels,anger
Turned Around,Chrome,turned around,chrome,anger
Buildings,Honey is Cool,buildings,honey is cool,anger
Vexation,Crystal Antlers,vexation,crystal antlers,anger
Zero Time,Chrome,zero time,chrome,anger
Schwarzwaldklinik,Die Toten Hosen,schwarzwaldklinik,die toten hosen,anger
Daremo Inai Ie,ムック,daremo inai ie,ムック,anger
Dead on It,Prince,dead on it,prince,anger
Dub,Pylon,dub,pylon,anger
Tentacles,Crystal Antlers,tentacles,crystal antlers,anger
Appendage,Nine Inch Nails,appendage,nine inch nails,anger
Knuckle Up,Snowgoons,knuckle up,snowgoons,anger
Precaution,Pylon,precaution,pylon,anger
The Immortal Ones,Hate Forest,the immortal ones,hate forest,anger
Месяц,Агата Кристи,месяц,агата кристи,anger
Ruiner,Unter Null,ruiner,unter null,anger
The Golden,Shinichi Osawa,the golden,shinichi osawa,anger
gentou sanka,ムック,gentou sanka,ムック,anger
Not Even Dead,Dimension Zero,not even dead,dimension zero,anger
Take It Or Leave It,Arctic Monkeys,take it or leave it,arctic monkeys,anger
