track,artist,track_clean,artist_clean,final_emotion
#1,spambient,1,spambient,romantic
(left a) pretty scar,adrian sieber,left a pretty scar,adrian sieber,romantic
04 - de mende dans les mende,zeru ta lur / cérou ta lourre,de mende dans les mende,zeru ta lur cérou ta lourre,neutral
05,panda bear,,panda bear,fear
05,panda bear,,panda bear,sadness
07,[unknown],,unknown,neutral
07,[unknown],,unknown,neutral
2012,lifeisround,,lifeisround,joy
24,switchfoot,,switchfoot,excitement
5am,9 lazy 9,am,lazy 9,reflective
5,gas,,gas,fear
6,tarmvred,,tarmvred,joy
85,kazooka,,kazooka,calm
[untitled],der blutharsch,untitled,der blutharsch,sadness
[untitled],der blutharsch,untitled,der blutharsch,reflective
a child is born,paul mccandless,a child is born,paul mccandless,calm
a day in the life of klaus,adam r. beebe,a day in the life of klaus,adam r beebe,excitement
a ghost story,memphis,a ghost story,memphis,fear
a glass can only spill what it contains,aitch,a glass can only spill what it contains,aitch,romantic
a little of you,sjofn,a little of you,sjofn,reflective
a love supreme,branford marsalis,a love supreme,branford marsalis,excitement
a new hope,the northern coast,a new hope,the northern coast,joy
a song for you,betty wright,a song for you,betty wright,reflective
a wish,secret of mana,a wish,secret of mana,joy
abide with me,st. olaf choir,abide with me,st olaf choir,excitement
abraham,riley,abraham,riley,neutral
abraxas,once upon a time,abraxas,once upon a time,reflective
absolution,skrol,absolution,skrol,reflective
abyss,cyrenic,abyss,cyrenic,reflective
acid tongue,jenny lewis with the watson twins,acid tongue,jenny lewis with the watson twins,sadness
adagio,suzanne ciani,adagio,suzanne ciani,joy
adam and eve,azar baksh,adam and eve,azar baksh,reflective
adam,ishome,adam,ishome,excitement
addiction,dolls of pain,addiction,dolls of pain,sadness
adhesive,bardo pond,adhesive,bardo pond,sadness
adrift,diane arkenstone,adrift,diane arkenstone,calm
adult,john foxx / harold budd,adult,john foxx harold budd,joy
afraid,d79,afraid,d79,neutral
after you,leland thomas faegre,after you,leland thomas faegre,neutral
afterlife,jon hopkins,afterlife,jon hopkins,reflective
aftermath,charles gross,aftermath,charles gross,sadness
agnus dei,akiko shikata (志方 あきこ),agnus dei,akiko shikata 志方 あきこ,anger
agua,batidos,agua,batidos,sadness
ain't got no home,jimmy carl black,aint got no home,jimmy carl black,sadness
alabama,beatsystem,alabama,beatsystem,excitement
alice,lazy loons,alice,lazy loons,excitement
all eyes,outersect,all eyes,outersect,reflective
all i ask of you (reprise),the phantom of the opera [2004 soundtrack],all i ask of you reprise,the phantom of the opera 2004 soundtrack,neutral
all i have,"t. dobbelmann, g. brennan, n. brennan",all i have,t dobbelmann g brennan n brennan,reflective
all i need,amplive,all i need,amplive,romantic
all strung out,adrian sieber,all strung out,adrian sieber,romantic
all the pretty little horses,coil,all the pretty little horses,coil,neutral
