track,artist,final_emotion
#1,spambient,
(left a) pretty scar,adrian sieber,
04 - de mende dans les mende,zeru ta lur / cérou ta lourre,
05,panda bear,
07,[unknown],neutral
2012,lifeisround,
24,switchfoot,
5am,9 lazy 9,
5,gas,
6,tarmvred,
85,kazooka,
[untitled],der blutharsch,
a child is born,paul mccandless,
a day in the life of klaus,adam r. beebe,
a ghost story,memphis,
a glass can only spill what it contains,aitch,
a little of you,sjofn,
a love supreme,branford marsalis,
a new hope,the northern coast,
a song for you,betty wright,
a wish,secret of mana,
abide with me,st. olaf choir,
abraham,riley,
abraxas,once upon a time,
absolution,skrol,
abyss,cyrenic,
acid tongue,jenny lewis with the watson twins,
adagio,suzanne ciani,
adam and eve,azar baksh,
adam,ishome,
addiction,dolls of pain,
adhesive,bardo pond,
adrift,diane arkenstone,
adult,john foxx / harold budd,
afraid,d79,
after you,leland thomas faegre,
afterlife,jon hopkins,
aftermath,charles gross,
agnus dei,akiko shikata (志方 あきこ),
agua,batidos,
ain't got no home,jimmy carl black,
alabama,beatsystem,
alice,lazy loons,
all eyes,outersect,
all i ask of you (reprise),the phantom of the opera [2004 soundtrack],
all i have,"t. dobbelmann, g. brennan, n. brennan",
all i need,amplive,
all strung out,adrian sieber,
all the pretty little horses,coil,
allegri: miserere,the tallis scholars (directed by peter phillips),
allegro con fuoco,antonín dvořák,
allegro vivace,felix mendelssohn,
alleluia,juan diego flórez,
alley-oop,the bonzo dog band,
alma,teddybears,
almost there,delta goodrem,
already there,the sight below,
always look on the bright side of life,brobdingnagian bards,
always on my mind,square sounds,
amen,georg friedrich händel,
american girl,jeffrey lewis,
amesais rmx,zailm atoyanh & the removers,
amoeba,phrulex,
amos moses,alabama 3,
amsterdam,anberlin,
an apology,indiefox,
anahata,bamboo forest,
andalucia,bill whelan,
andromeda,kai del noi,
andy,the affair,
anna (el negro zumbon),esquivel,
annihilation,retractor,
anodyne,mark dougherty,
another lonely day,ben harper & the innocent criminals,
antarctica,absinthe blind,
anti-climax,the beebe brothers,
antithesis,nigil caenaan,
anxiety,temperament,
anything goes,ana johnsson,
anyway,matthias tanzmann,
aphelion,fridge,
aphrodite,vanessa daou,
apocalypse,akir,
apollo,tin raven,
april,piana,
arabesque,henry mancini & his orchestra,
aria,5th projekt,
ariel,matt howden,
armageddon,judas iscariot,
around us,lifeisround,
around you,ingrid michaelson,
arrival,sun kil moon,
ascension,bryan el,
ascent,jeff greinke,
asshole,a,
astimelusa,taraxia,
astrology,mr. solo,
at my heels,daedelus,
at night,peter gabriel,
atlantic,the aluminum group,
atlantis,color collapse,
audrey,van morrison,
aura,figure,
aurora,(noou),
ausklang,pascal feos,
autumn leaves,anne guus teerhuis trio,
avatar,anti gravity league,
ave maria,alexander goldscheider,
avenue of trees,john foxx & harold budd,
awakening,ashit desai,
awake,griffin l.o.g.,
axis,lacarno & burns,
baby can i hold you,discover guys,
baby doll,sunny leone,
"baby, it's cold outside",al hirt; margret ann,
bachelorette,badi assad,
back where i started,curtis peoples,
backward,volor flex,
bad boy,9 lazy 9,
bad city,feelms,
bad girls,相川七瀬,
bad seed,amduscia,
bad trip,lee fields,
bad,matthew dekay vs proluctors,
bang,jadakiss,
baraka,mercan dede,
barcelona,freddie mercury & montserat caballé,
barracuda,diffraction,
bath,divine comedy,
battle,beats antique,
be happy,perpetual loop,
be still my soul,aled jones,
be thou my vision,pete huttlinger,
beautiful girl,aitch,
beautiful world,freetempo,
because we can,lostep,
before i go,yanni,
before,contriva,
behave,econochrist,
believe,afta-1,
bell tower,kitaro,
bells,the bats,
berceuse,the funky lowlives,
bessie smith,bob dylan and the band,
betray,大森俊之,
better than this,harris tweed,
better than,vineyard music,
between the lines,farma g,
between us,subtractivelad,
between,the dead hensons,
big boy,the reds,
big sky,armin van buuren,
bingo,lacto ovo,
bipolar,aktivehate,
bird song,buffalo daughter,
bitter sweet,soulsberry,
bitter,basilisk,
black and white,blisargon demogorgon,
black cat,psychic tv,
black celebration,unfactory,
black forest,goblin,
black leather,nightmares on wax,
black magic,kliment,
black sun,non,
black water,blu mar ten,
blackjack,swati,
blanche,klaus schulze,
blessed youth (tech mix),gold digger,
blind love,c.n.blue,
bliss,falik,
blood money,primal scream,
blossom,komeda,
blow,e-z rollers,
blue room,tangerine dream,
blues,dubska,
blur,aphex twin,
blutrausch,cyborg attack,
bob,cipher,
bolero,arthur lyman,
bonus track,dilated peoples,
boom,wild beasts,
borderland,the revs,
born,andrea liuzza,
boundaries,my dad is dead,
brain damage,robbie krieger,
brain death,re_agent,
break out,protoculture,
breakfast of champions,tokyo 2005,
breakfast,green handshake,
breakin' up,g. love,
breakthrough,broken ideology,
break,portugal the man,
breath,mendelayev,
bright side,lissie,
broken,amy lee,
bruises,majandra delfino,
buildings,jenny omnichord,
bullet,freshfabrik,
bull,same old shiver,
burned,no second troy,
burning times,elaine silver,
burning,ben folds,
butterfly song,heritage kids,
bye bye love,brødrene olsen,
c'est la vie,andrzej zaucha,
cake,pony,
caligula,quakes,
calling you,jan johnston,
calm,freddie joachim,
can you hear me,lions,
can't hold back,georg levin,
can't stop,conya doss,
canela,santana,
cannonball,2 many dj's,
canon,clogs,
captain hook,shel silverstein,
captive,mercan dede,
capture me,terry oldfield,
caramel,doc gyneco,
caravan,buddhuza,
carnaval,しかたあきこ,
carried away,bassnectar,
casablanca,so cow,
catacomb,james dooley,
catastrophe,the telephones,
catherine,sylvie joly,
catwalk,siouxsie and the banshees,
cat,abanda shake,
cavity,vices i admire,
cellophane,violet vision,
cemetery,project divinity,
cenere,renato ventura,
ceremony,ah*nee*mah,
change the beat,fab 5 freddy,
change the world,juliana down,
checkpoint,25th daybreak,
cherish,aeoliah,
cherry blossom girl,hope sandoval,
cherubic hymn,dmitri hvorostovsky,
chi vuol la zingarella (who wants the gypsy girl?),akiko shikaka,
chicago,claro intelecto,
childhood's end,john young band,
childhood,craig armstrong,
china doll,rachel loshak,
chloroform,blue sky black death,
christina,earl klugh,
cinderella,gioacchino rossini,
citizen,procreation,
cliché (original version),mishap crew,
click,ciara,
climbing,"lars danielsson, david liebman, jon christensen og bobo sten",
cloudburst,critters buggin,
clouds,nick elward,
cock,mary & the boy / felizol,
code,berserk in a hayfield,
collapse,sonic mayhem,
collide,elks,
colorado,david allen slater,
coma,god is an astronaut,
combat,univers zero,
come home,hecq,
come raggio di sol,vagrancy,
come to me,illusion of light,
come what may (original film version),nicole kidman & ewan mcgregor,
comets,super extra bonus party,
coney island girl,aleksandra kwasniewska and the belgian sweets,
confession,b t s,
contact,claro intelecto,
contradictions,natalie imbruglia,
contradiction,apparat,
contrasto,akiko shikata (志方 あきこ),
control,control alt deus,
cornelius,the smiles and frowns,
cosa,9 lazy 9,
couleur cafe,voodoo gang,
coyote,harold budd,
cradle,mattafix,
crave,björk,
creation,michelle mays,
critical mass,misled convoy,
crown him with many crowns,vineyard music,
cruella de vil,disney,
cruelty,the wolfhounds,
crunchy,pbnj band,
crushed,cocteau twins,
cry me a river,swans,
crystal,a pink,
cumulus,blu mar ten,
curious,holopaw,
curse,robbie williams,
curtain call,friday mile,
cycles,maetrik,
c,8otto,
damage,david sylvian & robert fripp,
damascus,devaldi,
dance with me,griffin l.o.g.,
dance,derek webb,
dangerous game,frank wildhorn,
dark moon,大森俊之,
dark room,virtual><embrace,
darkroom,rez,
david,labradford,
daybreak,maneki neko,
days go by,lightning dust,
de profundis,arvo pärt,
de verzoening,liesbeth list,
dead but dreaming,fields of the nephilim,
dead by dawn,depth charge,
dead skunk,larry groce,
dead,komeda,
dear jane,destruction junkie,
dear prudence,across the universe,
death march,aslan faction,
december,alexander piterskiy,
deep blue,keiko matsui,
deep water,jude johnstone,
default living,floodline,
delicate,angie hart,
delightful spekkio,yasunori mitsuda,
delta,the higher intelligence agency,
demolition,loco,
denial,pure,
der weg,arbeit,
descent,darkened heart,
desert,matt uelmen,
desperate man,tibursky,
destroy,fixmer/mccarthy,
detachable penis,the flaming lips,
deus ex machina,omar a. rodriguez-lopez,
devotion,aeoliah,
diane,gravenhurst,
die fete,rainald grebe und die kapelle der versöhnung,
dilemma,max enforcer & waverider,
dirty boy,mississippi sludge,
dirty little secret,thievery corporation,
dirt,sleep,
distance,cesium_137,
distant,overgrowing,
dis,fungus funk,
diva,jean michel jarre,
dizzy,joe robinson,
do what you want,david ryan harris,
do you realize?,orenda fink,
do you wanna rock and roll?,adam beebe-infanticide and friends,
