track,artist,lyrics
#4,aphex twin,"Richard
Yeah?

Richard
Yeah?"
'cause i'm a man,tame impala,"Like the brutal morning sun
It dawns on me, what have I done?
Saying sorry ain't as good as saying why
But it buys me a little more time

Lost in the moment for the second time
Each fuck up that I make that makes you cry
I'm as pathetic, as the reason why
In desperation, all that you can do is ask me why

'Cause I'm a man, woman
Don't always think before I do
'Cause I'm a man, woman
That's the only answer I've got for you (uh)
'Cause I'm a man, woman
Not often proud of what I choose
I'm a human, woman
A greater force I answer to

Once again, as it takes a hold
I am aware I'm not in control
You see, I have a conscience and it's never fooled
But it's prone to be overruled

You wanna know why I always think I'm right?
(Why?)
Can never accept defeat and let it slide
(Why?)
I have no voice if I don't speak my mind
(Why?)
My weakness is the source of all my pride
I'll tell you why

'Cause I'm a man, woman
Don't always think before I do
'Cause I'm a man, woman
That's the only answer I've got for you (uh)
'Cause I'm a man, woman
I'll never be as strong as you
I'm a human, human
A greater force I answer to (uh)"
'round midnight,amy winehouse,"It begins to tell 'round midnight
'Round midnight
I do pretty well 'til after sundown
Suppertime I'm feeling sad
But it really gets bad 'round midnight
Memories always start 'round midnight
'Round midnight
Haven't got the heart to stand those memories
When my heart is still with you
And old midnight knows it too
When some quarrel we had needs mending
Does it mean that our love is ending
Darling I need you
Lately I find
You're out of my arms
And I'm out of my mind
Let our love take wing some midnight
'Round midnight
Let the angels sing
For your returning
Let our love be safe and sound
When old midnight comes around
Let our love take wing some midnight
'Round midnight
Let the angels sing
For your returning
Let our love be safe and sound
When old midnight comes around"
(at your best) you are love,aaliyah,"Let me know
Let me know
Hah-hah, let me know
Let me know
Let me know

When I feel, what I feel
Sometimes it's hard to tell you so
You may not be in the mood to learn
What you think you know

There are times, when I find
You wanna keep yourself from me
When I don't have the strength
I'm just a mirror of what I see

But at your best, you are love
You're a positive motivating force within my life
Should you ever feel the need to wonder why
Let me know
Let me know

Let me know

When you feel, what you feel
Oh, how hard for me to understand
So many things have taken place
Before this love affair began
But if you feel, oh, like I feel
Confusion can give way to doubt
For there are times when I fall short of what I say
What I say, I'm all about, all about

But at your best, you are love
You're a positive motivating force within my life
Should you ever feel the need to wonder why
Let me know
Let me know

(Listen)

Tell me what it is (tell me what it is)
There's no need to make believe
(Make believe, no need to make believe)
Look beyond your words (look beyond your words)
Try to find a place for me
(Try to find, find a place for me)

'Cause at your best, you are love
You're a positive motivating force within my life
Should you ever feel the need to wonder why
Let me know
Let me know

Let me know
Let me know
Let me know
Oh-oh-oh-oh-oh
See, stay at your best, baby"
(something inside) so strong,michael ball,"The higher you build your barriers
The taller I become
The farther you take my rights away
The faster I will run

You can deny me
You can decide to turn
Your face away
No matter, 'cause there's

Something inside so strong
I know that I can make it
Though you're doing me wrong, so wrong
You thought that my pride was gone, no, no
Something inside so strong
Ho, something inside so strong

The more you refuse to hear my voice
The louder I will sing
You hide behind the walls of Jericho
Your lies will come tumbling

Deny my place in time
You squander wealth that's mine
My light will shine so brightly
It will blind you, 'cause there's

Something inside so strong
I know that I can make it
Though you're doing me wrong, so wrong
You thought that my pride was gone, no, no
Something inside so strong
Ho, something inside so strong

Brothers and sisters, when they insist
We're just not good enough
When we know better
Just look'em in the eyes and say

We're gonna do it anyway
We're gonna do it anyway
We're gonna do it anyway
We're gonna do it anyway

Something inside so strong
I know that I can make it
Though you're doing me wrong, so wrong
You thought that my pride was gone, no, no
Something inside so strong

Something inside so strong
I know that I can make it
Though you're doing me wrong, so wrong
You thought that my pride was gone, no, no
Something inside so strong

Ho, something inside so strong
Ho, something inside so strong
Ho, something inside so strong"
(what a) wonderful world,herman's hermits,"Don't know much about history
Don't know much biology
Don't know much about science books
Don't know much about the French I took
But I do know that I love you
And I know that if you loved me too
What a wonderful world this would be

Don't know much about geography
Don't know much trigonometry
Don't know much about algebra
Don't know what a slide rule is for
But I know that one and one is two
And if this one could be with you
What a wonderful world this would be

Now, I don't claim to be an A student
But I'm tryin' to be
For maybe by being an A student, baby
I can win your love for me

Don't know much about history
Don't know much biology
Don't know much about science books
Don't know much about the French I took
But I do know that I love you
And I know that if you loved me too
What a wonderful world this would be

But I do know that I love you
And I know that if you loved me too
What a wonderful world this would be"
100 years,dr. dog,"When I look back on what I done
About 100 years from now
Gonna cry myself to sleep at night
Somebody shows me how
Uh huh
When the sun shines down whats left of me
About 100 years from now
Gonna cut my water with a rebel yell
And claw my way back to town
100 years
100 years
They'll break me
But I'll break them too
Oh and this years for the brakemen
And this one is for you
When sky cracks open and the thunder comes
About 100 years from now
Gonna bury this old yoke and chain
In the cold wet ground
And when I get off at Tennebrook, [unknown] farm
About 100 years from now
I'm gonna marry you out of common sense
And get out from behind this plow
100 years
100 years
They'll break me
But I'll break them too
Oh and this years for the brakemen
And this one is for you
100 years
100 years
They'll break me
But I'll break them too
Oh and this years for the brakemen
And this one is for you"
17,avril lavigne,"Seventeen, seventeen
Seventeen, seventeen
He was working at the record shop
I would kiss him in the parking lot
Tasting like cigarettes and soda pop
Seventeen
He would tell me I was beautiful
Sneaking in the neighbor's swimming pool
Yeah, he taught me how to break the rules
Seventeen
Hey, these days are long gone
And when I hear this song
It takes me back
We were on top of the world
Back when I was your girl
We were living so wild and free
Acting stupid for fun
All we needed was love
That's the way it's supposed to be
Seventeen
Stealing beers out of the trailer park
Flicking lighters just to fight the dark
My favorite place was sitting in his car
Seventeen
Lay a blanket on the roof top
That time I knew I wouldn't make him stop
The nights were cold, but we kept them hot
Seventeen
Hey, these days are long gone
And when I hear this song
It takes me back
We were on top of the world
Back when I was your girl
We were living so wild and free
Acting stupid for fun
All we needed was love
That's the way it's supposed to be
We were running red lights
We were going all night
Didn't care about anything
'Cause it was you and me
We were living the dream
And we were seventeen
Oh, oh, oh, oh, oh, oh (seventeen)
Oh, oh, oh, oh, oh, oh (seventeen)
I remember what it felt like
Just a small town kind of life
If only I could just go back in time
Seventeen
We were on top of the world
Back when I was your girl
We were living so wild and free
Acting stupid for fun
All we needed was love
That's the way it's supposed to be
We were running red lights
We were going all night
Didn't care about anything
'Cause it was you and me
We were living the dream
And we were seventeen
Seventeen
Seventeen
Seventeen
Seventeen
Seventeen"
1976,rjd2,"Istanbul, denn schön nach
Istanbul, doch weit und
Ich sah nur deine braunen
Denn schön nach
Istanbul, doch weit und

Da sah ich Deine braunen
Augen

Da sah ich Deine braunen
Augen

Istanbul, denn schön nach
Istanbul, doch weit und
Ich sah nur deine braunen
Denn schön nach
Istanbul, doch weit und

Da sah ich Deine braunen
Augen
Ich sah nur Deine braunen
Augen"
1985,french kicks,"another night, said i have to calm down
another day, be another red light... yeahhh
i heard the sounds see i heard this on the one tell me
in my hand, whoaaaa-oh, your hand
and everytime we stop see you get a little fill its all over there
i know i know

i waited on the feelin' i waited all the time
i hate the sort of feeling when there's someone else in mind
and its the time for killing
by hearing all the time

drive me out of line (fashion), and i was color-blind
what do what i hear you say
maybe never want it see at all, noooooo
it sounds like a mind too empty findin' in my hand
whoaaa-oh your hand
and we got out just barely alive
ahh-ahh-ahh-ahh-ahh-ahh-ahh

i waited on the feelin' i waited all the time
i hate the sort of feeling when there's someone else in mind
and its the time for killing
by hearing all the time

another notice, out on the phone-line
(line clashes wonder what catches)
do you want to hang this, me on the clothes-line
(now im feeling... really such a fine time)

im glad i relate to you
glad im that glad im too
know i dont mind you
im keeping in mind
glad i relate to you
glad i resolve to you
ahhhh"
