track,artist,track_clean,artist_clean,final_emotion,reason
agnus dei,akiko shikata (志方 あきこ),agnus dei,akiko shikata 志方 あきこ,anger,LYRICS_NOT_FOUND
anxiety,temperament,anxiety,temperament,fear,LYRICS_NOT_FOUND
arabesque,henry mancini & his orchestra,arabesque,henry mancini his orchestra,anger,LYRICS_NOT_FOUND
at night,peter gabriel,at night,peter gabriel,fear,LYRICS_NOT_FOUND
betray,大森俊之,betray,大森俊之,fear,LYRICS_NOT_FOUND
carnaval,しかたあきこ,carnaval,しかたあきこ,anger,LYRICS_NOT_FOUND
chi vuol la zingarella (who wants the gypsy girl?),akiko shikaka,chi vuol la zingarella who wants the gypsy girl,akiko shikaka,anger,LYRICS_NOT_FOUND
combat,univers zero,combat,univers zero,fear,LYRICS_NOT_FOUND
contrasto,akiko shikata (志方 あきこ),contrasto,akiko shikata 志方 あきこ,anger,LYRICS_NOT_FOUND
dark moon,大森俊之,dark moon,大森俊之,fear,LYRICS_NOT_FOUND
dry flower,井元ともこ,dry flower,井元ともこ,anger,LYRICS_NOT_FOUND
electric death song,vinyl stickons,electric death song,vinyl stickons,anger,LYRICS_NOT_FOUND
ende,archon satani,ende,archon satani,fear,LYRICS_NOT_FOUND
euterpe - エウテルペ,vagrancy,euterpe エウテルペ,vagrancy,anger,LYRICS_NOT_FOUND
evidence,eternia,evidence,eternia,anger,LYRICS_NOT_FOUND
exec_chronicle_key/.,l-m-p (lost music planet),exec_chronicle_key,lmp lost music planet,anger,LYRICS_NOT_FOUND
exec_with.method_metafalica/.,shikata akiko & shimotsuki haruka,exec_withmethod_metafalica,shikata akiko shimotsuki haruka,anger,LYRICS_NOT_FOUND
fallen,gary numan,fallen,gary numan,fear,LYRICS_NOT_FOUND
forgotten waltz,lost music planet,forgotten waltz,lost music planet,anger,LYRICS_NOT_FOUND
get up,50 htz,get up,htz,anger,LYRICS_NOT_FOUND
gone too far,the reds,gone too far,the reds,anger,LYRICS_NOT_FOUND
hammer,c-netik & gancher & ruin,hammer,cnetik gancher ruin,fear,LYRICS_NOT_FOUND
incantation,kevin kerrigan,incantation,kevin kerrigan,fear,LYRICS_NOT_FOUND
l'alba dei morti viventi,daemonia,lalba dei morti viventi,daemonia,fear,LYRICS_NOT_FOUND
la sirene,井元ともこ,la sirene,井元ともこ,anger,LYRICS_NOT_FOUND
last breath,aaron marshall,last breath,aaron marshall,fear,LYRICS_NOT_FOUND
leviathan,christopher young,leviathan,christopher young,anger,LYRICS_NOT_FOUND
living sacrifice,井元ともこ,living sacrifice,井元ともこ,anger,LYRICS_NOT_FOUND
lullaby,balanescu quartet,lullaby,balanescu quartet,fear,LYRICS_NOT_FOUND
luna piena,akiko shikata (志方 あきこ),luna piena,akiko shikata 志方 あきこ,anger,LYRICS_NOT_FOUND
madness,adrian belew,madness,adrian belew,anger,LYRICS_NOT_FOUND
maze,大森俊之,maze,大森俊之,fear,LYRICS_NOT_FOUND
memento mori,the cracow klezmer band,memento mori,the cracow klezmer band,fear,LYRICS_NOT_FOUND
necropolis,nine inch nails,necropolis,nine inch nails,fear,LYRICS_NOT_FOUND
obsession,cabaret voltaire,obsession,cabaret voltaire,fear,LYRICS_NOT_FOUND
oh smania! oh furie! ~ d'oreste e d'aiace,シカタ★アキコ,oh smania oh furie doreste e daiace,シカタアキコ,anger,LYRICS_NOT_FOUND
ominous,punishment of scaphae,ominous,punishment of scaphae,fear,LYRICS_NOT_FOUND
paranoia,harmonic 33,paranoia,harmonic 33,fear,LYRICS_NOT_FOUND
parterre,志方あき,parterre,志方あき,anger,LYRICS_NOT_FOUND
pet,katie paisant,pet,katie paisant,fear,LYRICS_NOT_FOUND
pirates of the caribbean,井元ともこ,pirates of the caribbean,井元ともこ,anger,LYRICS_NOT_FOUND
polymorphia,antoni wit,polymorphia,antoni wit,fear,LYRICS_NOT_FOUND
premonitions,arbiter,premonitions,arbiter,fear,LYRICS_NOT_FOUND
rape your god,xmh,rape your god,xmh,anger,LYRICS_NOT_FOUND
riot,flying lotus,riot,flying lotus,anger,LYRICS_NOT_FOUND
seamless,tanya tagaq gillis,seamless,tanya tagaq gillis,fear,LYRICS_NOT_FOUND
sneak,岩崎琢,sneak,岩崎琢,fear,LYRICS_NOT_FOUND
some are,philip glass,some are,philip glass,anger,LYRICS_NOT_FOUND
stay,astrobrite,stay,astrobrite,fear,LYRICS_NOT_FOUND
strip tease,alain goraguer,strip tease,alain goraguer,fear,LYRICS_NOT_FOUND
suiren,"pauline oliveros, stuart dempster & panaiotis",suiren,pauline oliveros stuart dempster panaiotis,fear,LYRICS_NOT_FOUND
suspiria,claudio simonetti,suspiria,claudio simonetti,fear,LYRICS_NOT_FOUND
syncope,x-fusion,syncope,xfusion,fear,LYRICS_NOT_FOUND
syndrome,mariel ito,syndrome,mariel ito,anger,LYRICS_NOT_FOUND
television,hans zimmer,television,hans zimmer,fear,LYRICS_NOT_FOUND
thaleia - タレイア,vagrancy,thaleia タレイア,vagrancy,anger,LYRICS_NOT_FOUND
the boss,joseph gershwin & the universal-international orchestra,the boss,joseph gershwin the universalinternational orchestra,anger,LYRICS_NOT_FOUND
the lighthouse,hector zazou,the lighthouse,hector zazou,fear,LYRICS_NOT_FOUND
the wheel of fortune - fortuna,井元ともこ,the wheel of fortune fortuna,井元ともこ,anger,LYRICS_NOT_FOUND
the wheel of fortune,井元ともこ,the wheel of fortune,井元ともこ,anger,LYRICS_NOT_FOUND
trigger happy,counterstrike,trigger happy,counterstrike,anger,LYRICS_NOT_FOUND
under control,sporto kantès,under control,sporto kantès,fear,LYRICS_NOT_FOUND
work (poker face club mix),ciara feat. missy elliott,work poker face club mix,ciara feat missy elliott,anger,LYRICS_NOT_FOUND
恋ヒ数え,música japonesa,恋ヒ数え,música japonesa,anger,LYRICS_NOT_FOUND
Tension,Orbital,tension,orbital,anger,LYRICS_NOT_FOUND
Rattlesnake,Boris,rattlesnake,boris,anger,LYRICS_NOT_FOUND
Speedball,John Zorn,speedball,john zorn,anger,LYRICS_NOT_FOUND
Electronic Battle Weapon 9,The Chemical Brothers,electronic battle weapon 9,the chemical brothers,anger,LYRICS_NOT_FOUND
Must Attack,Extrawelt,must attack,extrawelt,anger,LYRICS_NOT_FOUND
Yuppie Cadillac,Jello Biafra with The Melvins,yuppie cadillac,jello biafra with the melvins,anger,LYRICS_NOT_FOUND
AFX 114,Caustic Window,afx 114,caustic window,anger,LYRICS_NOT_FOUND
Transylvania Blues,Silver Jews,transylvania blues,silver jews,anger,LYRICS_NOT_FOUND
Mondo Anthem,Chrome,mondo anthem,chrome,anger,LYRICS_NOT_FOUND
Dust,Crystal Antlers,dust,crystal antlers,anger,LYRICS_NOT_FOUND
Vexation,Crystal Antlers,vexation,crystal antlers,anger,LYRICS_NOT_FOUND
Zero Time,Chrome,zero time,chrome,anger,LYRICS_NOT_FOUND
Daremo Inai Ie,ムック,daremo inai ie,ムック,anger,LYRICS_NOT_FOUND
Tentacles,Crystal Antlers,tentacles,crystal antlers,anger,LYRICS_NOT_FOUND
The Immortal Ones,Hate Forest,the immortal ones,hate forest,anger,LYRICS_NOT_FOUND
Ruiner,Unter Null,ruiner,unter null,anger,LYRICS_NOT_FOUND
The Golden,Shinichi Osawa,the golden,shinichi osawa,anger,LYRICS_NOT_FOUND
gentou sanka,ムック,gentou sanka,ムック,anger,LYRICS_NOT_FOUND
Take It Or Leave It,Arctic Monkeys,take it or leave it,arctic monkeys,anger,LYRICS_NOT_FOUND
Arcturus,Crystal Antlers,arcturus,crystal antlers,anger,LYRICS_NOT_FOUND
Boom Blast,Freestylers,boom blast,freestylers,anger,LYRICS_NOT_FOUND
Hadrons,Lento,hadrons,lento,anger,LYRICS_NOT_FOUND
Finale Vollendung,Straftanz,finale vollendung,straftanz,anger,LYRICS_NOT_FOUND
Abel to Cain,D'espairsRay,abel to cain,despairsray,anger,LYRICS_NOT_FOUND
Violet,Fuck...I'm Dead,violet,fuckim dead,anger,LYRICS_NOT_FOUND
Deshumanization,Tamtrum,deshumanization,tamtrum,anger,LYRICS_NOT_FOUND
Wardrobe,Einstürzende Neubauten,wardrobe,einstürzende neubauten,anger,LYRICS_NOT_FOUND
Magnetic Dwarf Reptile,Chrome,magnetic dwarf reptile,chrome,anger,LYRICS_NOT_FOUND
Your Spears,Crystal Antlers,your spears,crystal antlers,anger,LYRICS_NOT_FOUND
Aftermath,Dioxyde,aftermath,dioxyde,anger,LYRICS_NOT_FOUND
Oskillatah,Skream,oskillatah,skream,anger,LYRICS_NOT_FOUND
In Gefangenschaft,Feindflug,in gefangenschaft,feindflug,anger,LYRICS_NOT_FOUND
Meet You In the Subway,Chrome,meet you in the subway,chrome,anger,LYRICS_NOT_FOUND
The Vanishing Prairie,Drowning Pool,the vanishing prairie,drowning pool,anger,LYRICS_NOT_FOUND
Several Tongues,Crystal Antlers,several tongues,crystal antlers,anger,LYRICS_NOT_FOUND
The sin,Wynardtage,the sin,wynardtage,anger,LYRICS_NOT_FOUND
dakukuu,ムック,dakukuu,ムック,anger,LYRICS_NOT_FOUND
Evil Playground,Front Line Assembly,evil playground,front line assembly,anger,LYRICS_NOT_FOUND
Broadcast,Corrupt Souls,broadcast,corrupt souls,anger,LYRICS_NOT_FOUND
Oboro no tsuki,D'espairsRay,oboro no tsuki,despairsray,anger,LYRICS_NOT_FOUND
Streets of London,Sex Pistols,streets of london,sex pistols,anger,LYRICS_NOT_FOUND
Ananga-Ranga,Merzbow,anangaranga,merzbow,anger,LYRICS_NOT_FOUND
Jenny (feat. Spalding Rockwell),Armand van Helden,jenny feat spalding rockwell,armand van helden,anger,LYRICS_NOT_FOUND
El Consuelo Final,Amduscia,el consuelo final,amduscia,anger,LYRICS_NOT_FOUND
Killing of Kings,Secret Chiefs 3,killing of kings,secret chiefs 3,anger,LYRICS_NOT_FOUND
Tanzflaechenmann,Accessory,tanzflaechenmann,accessory,anger,LYRICS_NOT_FOUND
Brainwashing (feat. Virgin Killer),Armand van Helden,brainwashing feat virgin killer,armand van helden,anger,LYRICS_NOT_FOUND
Six Inch Gold Blade,The Birthday Party,six inch gold blade,the birthday party,anger,LYRICS_NOT_FOUND
Morituri Te Salutant,C-Drone-Defect,morituri te salutant,cdronedefect,anger,LYRICS_NOT_FOUND
Dusted Decks,The Chemical Brothers,dusted decks,the chemical brothers,anger,LYRICS_NOT_FOUND
vengeance,Concord Dawn,vengeance,concord dawn,anger,LYRICS_NOT_FOUND
Mindkill,Rotten Sound,mindkill,rotten sound,anger,LYRICS_NOT_FOUND
Ubermensch,Angerfist,ubermensch,angerfist,anger,LYRICS_NOT_FOUND
Nihilistic Elitist,Jr Ewing,nihilistic elitist,jr ewing,anger,LYRICS_NOT_FOUND
Obeyer's of their own Death,Xasthur,obeyers of their own death,xasthur,anger,LYRICS_NOT_FOUND
Total War,:Wumpscut:,total war,wumpscut,anger,LYRICS_NOT_FOUND
My War,Henry Rollins,my war,henry rollins,anger,LYRICS_NOT_FOUND
Pimps of Gennesaret,Grand Belial's Key,pimps of gennesaret,grand belials key,anger,LYRICS_NOT_FOUND
Tonight the City Burns (ft. Cahir O'Doherty & Johnny Black),And So I Watch You From Afar,tonight the city burns ft cahir odoherty johnny black,and so i watch you from afar,anger,LYRICS_NOT_FOUND
Is this the End,Wynardtage,is this the end,wynardtage,anger,LYRICS_NOT_FOUND
Superloop,I Will Never Be The Same,superloop,i will never be the same,anger,LYRICS_NOT_FOUND
Obsession,Gesaffelstein,obsession,gesaffelstein,anger,LYRICS_NOT_FOUND
Arpeggiator,Fugazi,arpeggiator,fugazi,anger,LYRICS_NOT_FOUND
Pneumonic,Jakob,pneumonic,jakob,anger,LYRICS_NOT_FOUND
Ngised Wen (Main Version),Motograter,ngised wen main version,motograter,anger,LYRICS_NOT_FOUND
Vice Campaign,The Black Dahlia Murder,vice campaign,the black dahlia murder,anger,LYRICS_NOT_FOUND
The Archer's Bows Are Broken,Brand New,the archers bows are broken,brand new,anger,LYRICS_NOT_FOUND
Delivering the Groceries at 138 Beats per Minute,Don Caballero,delivering the groceries at 138 beats per minute,don caballero,anger,LYRICS_NOT_FOUND
