track,artist,track_clean,artist_clean,final_emotion,lyrics
05,panda bear,,panda bear,fear,"(I will not give up on you
I will not give up on you
I will not give up on you
I will not give up on you)

(I will not give up on you)
Cute red hood come walk with me
(I will not give up on you)
Leave your room mate friend
(I will not give up on you)
Come up to this apartment with me
(I will not give up on you)
Your soft feet will melt
(I will not give up on you)
They walked so far, jumped workin' streets
(I will not give up on you)
They need to feel some furs
(I will not give up on you)
Come up to my den with me
Wait just a second

(I will not give up on you)
Oh, I'm fevering
Oh, you make me want to...
Now I'm gonna, gonna chase you
(I will not give up on you)
Oh, I'm fevering
Oh, you make mе want to...
Now I'm gonna, gonna chase you
(I will not give up on you)
Oh, I'm fevеring
Oh, you make me want to...
Now I'm gonna, gonna chase you
(I will not give up on you)
Oh, I'm fevering
Oh, you make me want to...
Now I'm gonna, gonna chase you

(I will not give up on you
I will not give up on you)
Ooh ooh
Ooh, ooh-ooh, ooh
Ooh ooh
Ooh, ooh-ooh, ooh

Cute red hood come walk with me
Leave your room mate friend
(I will not give up on you)
Come up to this apartment with me
Wait just a second

(I will not give up on you)
Oh, I'm fevering
Oh, you make me want to...
Now I'm gonna, gonna chase you
(I will not give up on you)
Oh, I'm fevering
Oh, you're some feet above her
Now I'm gonna, gonna chase you
(I will not give up on you)
Oh, I'm fevering
Oh, you make me want to...
Now I'm gonna, gonna chase you
(I will not give up on you)
Oh, I'm fevering
Oh, you're some feet above her
Now I'm gonna, gonna chase you"
5,gas,,gas,fear,"Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, woah, damn, yeah, damn

Pullin' up for three like Herro, Tyler Herro (damn)
Goddamn bands inside my bank, hella zeros
Smokin' on that BBB, while I'm countin' dinero (woo, woo)
Smokin' on that BBB pack, it's some gas

I had yo' lil' bitch up in the back shaking that ass (damn, damn)
I know that you wanna fuck wit' Lil' Ballerboi, all them other niggas wack
Talkin' bout countin' bands might get annoying, it's all I do
Nigga, shoutout my young nigga Luke, one of the realest in the group (damn, yeah)
I know I'm real fuckin' childish, but I'm gettin' grown nigga bands
How it feel to be some lil' groupies, how it feel to be grown nigga fans
Aye, call me lil' 289, don't need no choppa, just killin' niggas with his hands, yeah

Pullin' up for three like Herro, Tyler Herro (damn)
Goddamn bands inside my bank, hella zeros
Smokin' on that BBB, while I'm countin' dinero
Smokin' on that BBB pack, it's some gas

YOSHIXO is a ho, y'all already know (yeah, yeah, yeah)
Shouldn't expect you to respond to my diss 'cause you ain't even slide for yo' brother
He's still dead, the killers, they runnin' and you in this bitch like a bum, nigga (woah)
Why don't you pick up a gun, nigga (yeah)
Why don't you go get it done, nigga (yeah)
I got a baddie in the back of the Audi, I'm fuckin' that bitch, make her cum, nigga
I be runnin' my bands, like way more faster than yo' brother's killers on the run, nigga

Yeah, yeah
Haha, lil' 289, nigga
Forreal"
a ghost story,memphis,a ghost story,memphis,fear,"As kids we used to watch them in the alley come and go
We could see the imprints of their footprints in the snow
They'd turn the corner out of sight
And we'd always let them go
We didn't want to know
I saw one disappear in to the dusk living room
Rain was beating on the sidewalk
But I heard him hum a tune
The melody familiar, but higher than I knew it
I ran up to my bed
And I quickly got into it
Hid my head beneath the covers
Counted up to ten
I looked around the room
And they were back again
Sitting at my bedside, watching over me
Turned the lock upon my door
And swallowed up the key
They stroked my head and whispered
""Now we'll never set you free""
And they never set me free
The years turned into ages
And I could see them still
Sometimes moving like an angel
Sometimes coming for the kill
They made me hide my real face
Quite against my will
I admit it was a thrill
Now everywhere I go
And in everything I do
It's them who's haunting me
And it's me who's haunting you
And I'll follow you until the day
That you're a spirit too
And that's my ghost story"
big boy,the reds,big boy,the reds,anger,"Lyrics From Snippet

Okay
Okay
Okay, I can tell you don't know
What me and my niggas be on
Red light, yellow light, green coat
On my body like snails, she slow
Tongue turned white like bitch seen ghosts
Pop shit, champagne, let's toast
In your bitch like Finding Nemo
Okay, let's get it (Like damn)

We get deady no matter the setting (Go)
Fendi pack and it ain't for the aesthetic (Go, go)
I'm on court, I've been balling like Reddick (Like what)
Bread winner, I'm feeding the team (Like damn)
Fuck the hate, I been chasing my dreams
I been tired of seeing my family griеve (Word to bro)
Oh, he got one wish (Wish)
Oh, hе want one bitch (Bitch)
This is aura you cannot emit
I done been through some shit, but I will not forget it (Like damn)
Too much bitches I gotta resist
On my personal problems I gotta fix 'em (Go, go)
Circle shrinking like it was the vision
It's still love, but it's love from a distance, bitch (Like damn)
I was doly, just me and my ski (Ski, ski)
Two deep, just me and my G (G)
Bitch, I been drilling since I was sixteen (Like damn)

On the creep, get geeked, fuck sleep
She gon' bust like a ARP
Pullin' off in a SRT
Swap it out for the G63
Rockin' old age 
Hangin' out the window like an olé, sí
Stone cold like a 3:16
Chrome Heart glasses, I could see HD
Told him chill, don't make a scene
Get a nigga cooked like a damn baked bean
Told him that a nigga really clean
 hit you with a 

Grrah, and my bitch told me I'm bein' mean
Antisocial, don't wanna be seen
Bitch, everyday I wake up feelin' great
I'm on demon off purple, don't fuck with the green
I see red when I pop me a perky
And you know all that shit you was doin' would hurt me
But fuck it, you still did me dirty
I don't need no  or , I'm sturdy (Yeah, yeah, word to my mother)
Like, I don't think these niggas worthy
She a demon, she offered me 30
So why would I give you my heart if you hurt me (Yeah)
Grrah, taking my kindness for weakness, everyone misleading my heart
Face card too strong, they push up I'ma spark
 (Damn)

I'm on go for the bills, for my brothers in jail
Shit fuck with my PTSD"
cruella de vil,disney,cruella de vil,disney,fear,"Cruella de Vil, Cruella de Vil
If she doesn't scare you, no evil thing will
To see her is to take a sudden chill
Cruella, Cruella
She's like a spider waiting for the kill
Look out for Cruella de Vil

At first you think Cruella is a devil
But after time has worn away the shock
You come to realize you've seen her kind of eyes
Watching you from underneath a rock!

This vampire bat, this inhuman beast
She ought to be locked up and never released
The world was such a wholesome place until
Cruella, Cruella de Vil"
falling down,jehst,falling down,jehst,fear,"Drinking in electric lady land
Conversate with the crazy man
Where the babies sip babycham
And dames babysit Damien
Plagued by the everyday pain of a pantomime palladium
Playin' games, guilt weighing on your cranium
Prayin' on a path of pre-destined devastation
They're dishin out medication in many forms
I meditate on millennium metaphors
A tour-de-force of fornication
A thought-police state dictates to the whores of a sleaze nation
Discreet segregation
Infinite degrees of separation, we celebrate creation
Creating new means of our destruction
De-sensitised to the violence, the carnage is cartoon
It's Televised to your front room
Guns boom, pictures that poison the young
We're highly strung
A slugfest for the scum
But I ain t givin up cause I'm driven by the drum in drunken tongues
I talk up at the sun but I ain t givin up
Nah

Rain clouds breakdown my cardboard wall of sound
And now nobody hears when I'm calling out
It's like they cover their ears
Say my tears are the tears of a clown
Please help me
I'm falling down

My silver tongue spits gold bars
Bring an amber glow to cold hearts
Show love to my close spars
Living their lives so fast
While our foes slow dance with Diablo
Most can't cope with the agro, watchin' the rats grow
Led astray by a modern day pied piper in a lab coat
It's code red, white lines blue movies
And media scapegoats provoke defence
I vent fears with a broken pen
And shed tears for the hopeless
Approaching the future with a clear focus
Frozen below the mushroom clouds
And we're much too loud to be allowed to speak out
Cause the people might freak out
A free man with his hands tied, died buried below the landslide
Rigged by the sidewinders
Wise to the way that the lies are applied as a social science
To those who show signs of defiance
The fire burns
We learn ways to survive as the world turns
Look away from the flames as the fire burns
We learn ways to survive"
heroin,john cale,heroin,john cale,fear,"I'm thinking about the pressure building (yeah)
In this dream that I know isn't true
I'm thinking about the pleasure building (thinking about you)
And it seems that you notice it too

How could you be so devastating?
How could you be so indigo?
How could you be so devastating?
How could you be? I'll never know
(Thinking about you)

Why would I run away
(When) I'm with myself all day
I could die entertained
And keep complaining to you (thinking of)
What if I never change (thinking of you)
You'll wish me back your way? (thinking of you)
When I dry in the rain (thinking)
I'll see you

I'm thinking about the pressure building
In this dream that I know isn't true
I'm thinking about the pleasure building (thinking about you)
And it seems that you notice it too

How could you be so devastating?
How could you be so indigo?
How could you bе so devastating?
How could you be? I'll nevеr know

Make me the only one
Make me the only one
Make me the only one
In my view
Make me the only one
Make me the only one
Make me the only one

I'm thinking about the pressure building (thinking about you)
In this dream that I know isn't true
I'm thinking about the pleasure building
And it seems that you notice it too

What was never there
(Thinking of you)
(Thinking of you)
(Thinking of you)
(Thinking)
I'm thinking about the pressure building
(Feel so good, good, good, good)"
i,cacogen,i,cacogen,fear,"Awakened from suspended sleep after eons of desolation
We find ourselves
Staring into the abyss
A marvel of construction built by beings untold
A self sustaining system of propulsion
A symbol of perfection
We cannot comprehend
Delving deep into the depths
A discovery of unthinkable value
Floating through the nothingness colossal it's only description
As past becomes the present
Symmetrical to the point of compulsion
A mammoth creation from the depths of unknown
As our minds grasp spherical distortions
We question the meaning of infinity
Such an inferior existence
As we face perfected evolution
At the height of technology automation beyond understanding
We wait
The shapeless beings start to emerge
As the light infiltrates the towering landscape
A sea of frozen chemical compounds
Faultless towering framework
For what purpose does this planet exist
Is it destruction or self preservation?
The complications of our ability to reason
When faced with perfection we waste away
Rise to the sun
Rise endless one"
lilybelle,geraldine fibbers,lilybelle,geraldine fibbers,fear,"In the dark
She is rocking
Not to records
But to voices in her head
Lilybelle, Lilybelle, Lilybelle
Hot as hell
3 a.m
And it feels just like high noon
In her head
Come to bed
When the air cools down
I'm gonna skate away
Gonna fly so far
I'm gonna kiss that star
Get off of that trip
Don't touch it baby
Get off of that trip
You'll burn your pretty fingers
Get off of that trip
You'll soil your cherry hands
Get off of that trip
Seven thousand holes to blow through
Oh, scissors and paper
And other sharp things
You can chew on that
For a while
You're a trained dog, girl
You got house, heart of gold
Won't you try to forget
Won't you let me
Won't you let me go to sleep
Close your eyes, pull the plug
Turn it down, kill the lights
Shut it up, shut it up
Let your head go under, let your head go under
Let your head go to nothing, girl
Get off of that trip
Don't touch it baby
Get off of that trip
You'll burn your pretty fingers
Get off of that trip
You'll soil your cherry hands
Get off of that trip
Seven thousand holes to blow through
There are songbirds
And sweet things
Where angels bare wings
And bask in the afterglow
Of good deeds done by tender souls
But I, in my wretched state
Fat from years of sucking hate
Can never scrape the dirt off
Can never shake the other side
It hides in holes behind my eyes"
messages,maston,messages,maston,fear,"Machi hazure no chiisana minato
Hitori tatazumu shoujo
Kono umi ni mukashi kara aru
Hisoka na iitsutae
""Negai o kaita youhishi o""
""Kobin ni irete""
""Umi ni nagaseba itsu no hi ka
""Omoi wa minoru deshou""
Nagarete iku garasu no kobin
Negai o kometa messeeji
Suiheisen no kanata ni
Shizuka ni kieteiku
Kimi wa itsumo watashi no tame ni
Nan demo shite kureta no ni
Watashi wa itsumo wagamama bakari
Kimi o komaraseteta
Negai o kanaete kureru kimi
Mou inai kara
Kono umi ni watashi no omoi
Todokete morau no
Nagarete iku chiisana negai
Namida to sukoshi no riguretto
Tsumi ni kizuku no wa itsumo
Subete owatta ato
Nagarete iku garasu no kobin
Negai o kometa messeeji
Suiheisen no kanata ni
Shizuka ni kieteiku
Nagarete iku chiisana negai
Namida to sukoshi no riguretto
""Moshimo umare kawareru naraba"""
