track,artist,track_clean,artist_clean,final_emotion,reason
05,panda bear,,panda bear,fear,Already processed
5,gas,,gas,fear,Already processed
a ghost story,memphis,a ghost story,memphis,fear,Already processed
agnus dei,akiko shikata (志方 あきこ),agnus dei,akiko shikata 志方 あきこ,anger,Already processed
anxiety,temperament,anxiety,temperament,fear,Already processed
arabesque,henry mancini & his orchestra,arabesque,henry mancini his orchestra,anger,Already processed
at night,peter gabriel,at night,peter gabriel,fear,Already processed
betray,大森俊之,betray,大森俊之,fear,Already processed
big boy,the reds,big boy,the reds,anger,Already processed
carnaval,しかたあきこ,carnaval,しかたあきこ,anger,Already processed
chi vuol la zingarella (who wants the gypsy girl?),akiko shikaka,chi vuol la zingarella who wants the gypsy girl,akiko shikaka,anger,Already processed
combat,univers zero,combat,univers zero,fear,Already processed
contrasto,akiko shikata (志方 あきこ),contrasto,akiko shikata 志方 あきこ,anger,Already processed
cruella de vil,disney,cruella de vil,disney,fear,Already processed
dark moon,大森俊之,dark moon,大森俊之,fear,Already processed
dry flower,井元ともこ,dry flower,井元ともこ,anger,Already processed
electric death song,vinyl stickons,electric death song,vinyl stickons,anger,Already processed
ende,archon satani,ende,archon satani,fear,Already processed
euterpe - エウテルペ,vagrancy,euterpe エウテルペ,vagrancy,anger,Already processed
evidence,eternia,evidence,eternia,anger,Already processed
exec_chronicle_key/.,l-m-p (lost music planet),exec_chronicle_key,lmp lost music planet,anger,Already processed
exec_with.method_metafalica/.,shikata akiko & shimotsuki haruka,exec_withmethod_metafalica,shikata akiko shimotsuki haruka,anger,Already processed
fallen,gary numan,fallen,gary numan,fear,Already processed
falling down,jehst,falling down,jehst,fear,Already processed
forgotten waltz,lost music planet,forgotten waltz,lost music planet,anger,Already processed
get up,50 htz,get up,htz,anger,Already processed
gone too far,the reds,gone too far,the reds,anger,Already processed
hammer,c-netik & gancher & ruin,hammer,cnetik gancher ruin,fear,Already processed
heroin,john cale,heroin,john cale,fear,Already processed
incantation,kevin kerrigan,incantation,kevin kerrigan,fear,Already processed
i,cacogen,i,cacogen,fear,Already processed
l'alba dei morti viventi,daemonia,lalba dei morti viventi,daemonia,fear,Already processed
la sirene,井元ともこ,la sirene,井元ともこ,anger,Already processed
last breath,aaron marshall,last breath,aaron marshall,fear,Already processed
leviathan,christopher young,leviathan,christopher young,anger,Already processed
lilybelle,geraldine fibbers,lilybelle,geraldine fibbers,fear,Already processed
living sacrifice,井元ともこ,living sacrifice,井元ともこ,anger,Already processed
lullaby,balanescu quartet,lullaby,balanescu quartet,fear,Already processed
