track,artist,final_emotion,lyrics
'Till I Collapse,Eminem,anger,"'Cause sometimes you just feel tired, feel weak
And when you feel weak, you feel like you wanna just give up
But you gotta search within you, try to find that inner strength
And just pull that shit out of you
And get that motivation to not give up, and not be a quitter
No matter how bad you wanna just fall flat on your face and collapse

'Till I collapse I'm spilling these raps long as you feel 'em
'Till the day that I drop you'll never say that I'm not killing 'em
'Cause when I am not, then I'ma stop penning 'em
And I am not Hip-Hop and I'm just not Eminem
Subliminal thoughts, when I'ma stop sending 'em?
Women are caught in webs, spin 'em and hock venom
Adrenalin shots, the penicillin could not get the illing to stop
Amoxicillin's just not real enough

The criminal cop-killing hip hop villain
A minimal swap to cop millions of Pac listeners
You're coming with me, feel it or not you're gonna fear it
Like I showed you the spirit of God lives in us
You hear it a lot, lyrics to shock
Is it a miracle or am I just product of pop fizzing up?
For shizzle my wizzle, this is the plot, listen up
You bizzles forgot, Slizzle does not give a fuck

'Till the roof comes off, 'till the lights go out
'Till my legs give out, can't shut my mouth
'Till the smoke clears out, am I high? Perhaps
I'ma rip this shit, 'till my bone collapse
'Till the roof comes off, 'till the lights go out
'Till my legs give out, can't shut my mouth
'Till the smoke clears out, am I high? Perhaps
I'ma rip this shit, 'till my bone collapse

Music is like magic, there's a certain feeling you get
When you real and you spit and people are feeling your shit
This is your moment, and every single minute you spend
Tryna hold on to it 'cause you may never get it again
So while you're in it, try to get as much shit as you can
And when your run is over just admit when it's at its end
'Cause I'm at the end of my wits with half the shit that gets in
I got a list, here's the order of my list that it's in

It goes Reggie, Jay-Z, 2Pac and Biggie
Andre from OutKast, Jada, Kurupt, Nas and then me
But in this industry I'm the cause of a lot of envy
So when I'm not put on this list, the shit does not offend me
That's why you see me walk 'round like nothing's bothering me
Even though half you people got a fuckin' problem with me
You hate it but you know respect you got to give me
The press's wet dream like Bobby and Whitney, Nate, hit me

'Till the roof comes off, 'till the lights go out
'Till my legs give out, can't shut my mouth
'Till the smoke clears out, am I high? Perhaps
I'ma rip this shit, 'till my bone collapse
'Till the roof comes off, 'till the lights go out
'Till my legs give out, can't shut my mouth
'Till the smoke clears out, am I high? Perhaps
I'ma rip this shit, 'till my bone collapse

Soon as a verse starts, I eat at an MC's heart
What is he thinking? How not to go against me, smart
And it's absurd, how people hang on every word
I'll probably never get the props I feel I ever deserve
But I'll never be served, my spot is forever reserved
If I ever leave Earth, that would be the death of me first
'Cause in my heart of hearts I know nothing could ever be worse
That's why I'm clever when I put together every verse

My thoughts are sporadic, I act like I'm an addict
I rap like I'm addicted to smack like I'm Kim Mathers
But I don't wanna go forth and back in constant battles
The fact is I would rather sit back and bomb some rappers
So this is like a full blown attack I'm launching at 'em
The track is on some battling raps who want some static?
'Cause I don't really think that the fact that I'm Slim matters
A plaque and platinum status is wack if I'm not the baddest, so

'Till the roof comes off, 'till the lights go out
'Till my legs give out, can't shut my mouth
'Till the smoke clears out, am I high? Perhaps
I'ma rip this shit, 'till my bone collapse
'Till the roof comes off, 'till the lights go out
'Till my legs give out, can't shut my mouth
'Till the smoke clears out, am I high? Perhaps
I'ma rip this shit, 'till my bone collapse

Until the roof (until the roof)
The roof comes off (the roof comes off)
Until my legs (until my legs)
Give out from underneath me
I, I will not fall, I will stand tall
Feels like no one could beat me"
St. Anger,Metallica,anger,"St. Anger 'round my neck
St. Anger 'round my neck
He never gets respect
St. Anger 'round my neck

(You flush it out, you flush it out) St. Anger 'round my neck
(You flush it out, you flush it out) He never gets respect
(You flush it out, you flush it out) St. Anger 'round my neck
(You flush it out, you flush it out) He never gets respect

Fuck it all and no regrets
I hit the lights on these dark sets
I need a voice to let myself
To let myself go free
Fuck it all and fucking no regrets
I hit the lights on these dark sets
Put down your noose, I'll hang myself
St. Anger 'round my neck

I feel my world shake
Like an earthquake
Hard to see clear
Is it me? Is it fear?

Madly in anger with you
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you

St. Anger 'round my neck
St. Anger 'round my neck
He never gets respect
St. Anger 'round my neck

(You flush it out, you flush it out) St. Anger 'round my neck
(You flush it out, you flush it out) He never gets respect
(You flush it out, you flush it out) St. Anger 'round my neck
(You flush it out, you flush it out) He never gets respect

Fuck it all and no regrets
I hit the lights on these dark sets
I need a voice to let myself
To let myself go free
Fuck it all and fucking no regrets
I hit the lights on these dark sets
Put down your noose, I'll hang myself
St. Anger 'round my neck

I feel my world shake
Like an earthquake
Hard to see clear
Is it me? Is it fear?

Madly in anger with you
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you

And I want my anger to be healthy
And I want my anger just for me
And I need my anger not to control
Yeah and I want my anger to be me

And I need to set my anger free
And I need to set my anger free
And I need to set my anger free
And I need to set my anger free

Set it free

Fuck it all and no regrets
I hit the lights on these dark sets
I need a voice to let myself
To let myself go free
Fuck it all, fucking no regrets
I hit the lights on these dark sets
Put down your noose, I'll hang myself
St. Anger 'round my neck

I feel my world shake
Like an earthquake
Hard to see clear
Is it me? Is it fear?

Madly in anger with you
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you

Madly in anger with you
I'm madly in anger with you
I'm madly in anger with you
I'm madly in anger with you"
Speedin',Rick Ross,anger,"Legendary
Runners
You know me

Trilla

Every dollar that I count can't grow in my account
My accountant can't count up all my money in an hour
'Cause it's comin' too fast and I'm scared it won't last
Look that white girl in her face, told her this was her last dance

Goddamn, speed got my heart racin'
Counting high denominations you can blame that on my occupation
Ceasar salad, Caesars Palace
You not a boss little nigga 'cause your cheese is average

In the Benz, AK ridin' shotgun (Ross)
It's a Benz 'cause your broke 'til you got one
It ain't nothing do 100 in the Maybach
Throwin' money out the roof motherfuck the brake pads

Fast life (fast life), I live (I live)
Big cars (big cars), big cribs (speed)
Speedin' (speed), I'm speedin'
I can't stop, it's all I know
From a youngin' I was taught get dough (speed)
I'm speedin' (speedin'), I'm speedin' (oh, oh)

People came lookin' for me, shit, I got ghosts see the west coast
Hit the West coast, toast it up in Le Montrose
Big money (money), boss major (what?)
American Idol, I got fans like Fantasia

Read between the lines or yo' ass like Fantasia
Get hit between the eyes, he died, they can't save him
In the Porsche, I'm weavin', no coke, no coke, but I'm speedin'

Staring at the skyline (Ross), I got a million on my mind, I'm the best
And these pussy niggas running out of time (Ricky Ross)
I'm the chill, quarter mill' for the time piece
Yeah, I bought the wheels now I deals with a dime piece

Fast life (fast life), I live (I live)
Big cars (big cars), big cribs (speed)
Speedin' (speed), I'm speedin'
I can't stop, it's all I know
From a youngin' I was taught get dough (speed)
I'm speedin' (speedin'), I'm speedin' (oh, oh)

Sittin' in the living room watching the Grammys
Wishing that was me that was on the Grammys
All I needed was someone to get behind me, money rain on me
I was a determined lil' nigga, dirty shoes and Hilfiger
Homie help me out 'cause this boy was a drug dealer

Now I'm flyin' high 'cause my gift grew wings
And now I'm flying by like the coupe grew wings
Kells and Ross on the Hollywood scene
Red carpet and it's smellin' like green
Now I floss 'cause I got paid off
Collabo with the hip-hop and R&B boss

Fast life (fast life), I live (I live)
Big cars, big cribs (speed)
Speedin' (speed), I'm speedin'
I can't stop, it's all I know
From a youngin' I was taught get dough (speed)
I'm speedin' (I'm sspeedin'), I'm speedin'

E-Class, I think somebody followin' me
Meet me at the helipad, with your bitch
You worth 15 million, baby, I'm tryin' to blow it all in one week
Fuck with me, triple Cs, it's the boss (I'm speedin')
I'ma fly away on you haters (I'm speedin')
I done came up so fast, movies, endorsements, films (I'm speedin')
We own things (I'm speedin')
Boss"
Bamboo Banga,M.I.A.,anger,"Road runner, road runner
Going hundred mile per hour
With your radio on
With your radio on
Road runner, road runner
Going hundred mile per hour
With your radio on
With your radio on
Somalia, Angola, Ghana, Ghana, Ghana (hey!)
India, Sri Lanka, Burma, bamboo banga (hey!)
This the bamboo banga
I said bamboo banga
This the bamboo banga
I said bamboo banga
And we're hittin our records like a tennis player
And the drummers do the shit like the macarena
This the jungle banga
Or the cold jammer
I said jungle banga
I said cold jammer
I said jungle banga
I said cold jammer
I'm bored of eating banana
I want guanabana
I wanna warm my buns this summer summer summer summer
Now I'm sittin' down chillin on some gun powder
Strike / match / light / fire
Who's that girl called Maya?
M.I.A. coming back with power power (power power!)
M.I.A. coming back with power power (power power!)
I said M.I.A. coming back with power power (power power!)
M.I.A. coming back with power power (power power!)
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm knocking on the doors of your hummer hummer
Yeah, I'm knocking on the doors of your hummer hummer
Yeah, I'm knocking on the doors of your hummer hummer
Yeah, I'm knocking on the doors of your hummer hummer
You'll be hungry like the wolves hunting dinner dinner
And we're moving with the packs like hyena ena
Barbarella look like she's my dead ringer
When I?m dogging on the bonner of ya red Honda
I'm a road runner
I'm a world runner
I'm a road runner
I'm a world runner
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
M.I.A. coming back with power power (power power!)
M.I.A. coming back with power power (power power!)
M.I.A. coming back with power power (power power!)
M.I.A. coming back with power power (power power!)
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga
I'm big timer, it's the bamboo banga"
Die MF Die,Dope,anger,"I don't need your forgiveness
I don't need your hate
I don't need your acceptance
So what should I do?
I don't need your resistance
I don't need your prayers
I don't need no religion
I don't need a thing from you

I don't do what I've been told
You're so lame why don't you just go

Die motherfucker, die motherfucker, die
Die motherfucker, die motherfucker, die
Die motherfucker, die motherfucker, die
Die motherfucker, die motherfucker, die

I don't need your prison
I don't need your pain
I don't need your decision
So what should I do?
I don't need your approval
I don't need your hope
I don't need your lectures
I don't need a thing from you

I'll be sorry when I'm old
You're so full of shit man just go

Die motherfucker, die motherfucker, die
Die motherfucker, die motherfucker, die
Die motherfucker, die motherfucker, die
Die motherfucker, die motherfucker, die

I don't need your forgiveness
I don't need your hate
I don't need your acceptance
So what should I do?

I'll be sorry so you've said
I'm not sorry, bang, you're dead

Die motherfucker, die motherfucker, die
Die motherfucker, die motherfucker, die
Die motherfucker, die motherfucker, die
Die motherfucker, die motherfucker, die

Die
Die
Die
Die"
Step Up,Drowning Pool,anger,"One, two, three, go

Broken
Yeah you been livin' on the edge of a broken dream
Nothin'
Yeah that's the only thing you'll ever take away from me

I'm never gonna stop, I'm never gonna drop
Ain't no different than it was before
So take some good advice, you better stop and think twice
Before you take your first step out that door

If you wanna step up (step up)
You're gonna get knocked down (knocked down)
If you wanna step up (step up)
You're gonna get knocked down
You had your chance to walk away
Live to see another day
If you wanna step up (step up)
You're gonna get knocked down (knocked down)
You're gonna get knocked down

Sufferin'
Yeah that's the only thing here that's left for you
Nothin'
Yeah that's the only thing you're ever gonna fuckin' do

I'm never gonna stop and never gonna drop
Ain't no different than it was before
So take some good advice, you better stop and think twice
Before you take your first step out that door

So if you wanna step up (step up)
You're gonna get knocked down (knocked down)
If you wanna step up (step up)
You're gonna get knocked down
You had your chance to walk away
Live to see another day
If you wanna step up (step up)
You're gonna get knocked down (knocked down)
You're gonna get knocked down
You're gonna get knocked down

And now you've crossed that line
You must be out your mind

If you wanna step up (step up)
You're gonna get knocked down (knocked down)
If you wanna step up (step up)
You're gonna get knocked down
You had your chance to walk away
Live to see another day
If you wanna step up (step up)
You're gonna get knocked down (knocked down)
You're gonna get knocked down
You're gonna get knocked down (step up)
You're gonna get knocked down
You're gonna get knocked down (step up)
You're gonna get knocked down"
Feedback,Kanye West,anger,"Ayy, y'all heard about the good news?
Y'all sleeping on me, huh? Had a good snooze?
Wake up, nigga, wake up
We bout to get this paper

Money never made me
Make me do something? Nah, can't make me
Even if the money low, can't pay me
Even if the money low, can't play me

Ayy, y'all heard about the good news?
Y'all sleeping on me, huh? Had a good snooze?
Wake up, nigga, wake up
We bout to get this paper

Pablo bought a Roley and a rottweiler
Seem like the more fame, I only got wilder
Hands up, we just doing what the cops taught us
Hands up, we just doing what the cops taught us
I've been outta my mind a long time
I've been outta my mind a long time
I've been saying how I feel at the wrong time
Might not come when you want but I'm on time

Ayy, y'all heard about the good news?
Y'all sleeping on me, huh? Had a good snooze?
Wake up, nigga, wake up
We 'bout to get this paper

I can't let these people play me
Name one genius that ain't crazy
Follow our father
You borrow our motto
I'm a Chicago south sider
I'm a Chicago south sider

Ayy, y'all heard about the good news?
Y'all sleeping on your boy, had a good snooze?
Wake up, nigga, wake up
It's time to get the paper

I've been outta my mind a long time
I've been outta my mind a long time
I know, I know, I shouldn't even bother
With all these gossiping, no-pussy-getting bloggers
Fashion show in Gotham, I need another costume
PETA's mad cause I made a jacket outta possum
Awesome, Steve Jobs mixed with Steve Austin
Rich slave in the fabric store picking cotton
If Hov J then every Jordan need a Rodman
Man, Jay, they don't really want no problems
Driving in the same car that they killed Pac in
Driving in the same uh that they killed Pac in
Hands up, we just doing what the cops taught us
Hands up, hands up, then the cops shot us

Hold on, hold on, hold on
Wait a second, everybody here, I'm the ghetto Oprah
You know what that mean? You get a fur! You get a fur!
You get a jet! You get a jet! Big booty bitch for you! Woo!"
7 Words,Deftones,anger,"I'll never be the same, breaking decency
Don't be tree trunk, don't fall on my living roots
I've been humming too many words, got a weak self-esteem
That's been stomped away from every single dream
But it's something else that brought us faze
Keep it all inside, until we feel we can't unleash
I think that you made it up, I think that your mind is gone
I think you shouldn't have glorified, now you're wrong
Suck, suck, suck, suck
Suck, suck, suck, suck
Suck, suck, suck, suck
They fuck with my head
Suck, suck, suck, suck
Suck, suck, suck, suck
Suck, suck
Suck it, bitch
You and me are here alone face flat along the edge of the glass
But I'm not here to preach, I'm just sick of thugs
My parents made me strong to lift up that glass
So why should I try, act like I'm a little pissed off
With all that shit that needs to stay back on the shelf
Because your punk ass made it up, your fucking mind was gone
Should've never glorified, now you're right
Suck, suck, suck, suck
Suck, suck, suck, suck
Suck, suck, suck, suck
Fucking get him out of here
Suck, suck, suck, suck
Suck, suck, suck, suck
Suck, suck, suck
Suck it, bitch
You don't know me, shut up, you don't know me
Squeal like a pig when you big fucking, big fucking, ape
♪
♪
Well, I'll tell you about my smoke stack
What's coming back jack, we'll turn back
Curse for in their words in their words
Tell them that you fucking heard
I mean, they know that's what's coming nigga, and you're a quitter
I'm thinking 'bout something naughty and won't tell anybody
So thinking of me by now, but you go grab it
I'd like to think, for who I down this shit
I belong where they be, 'cause we can not get back those lives
We exist to cease, understand
That God hates blacks shades and all the players
Mr. P.I.G., could I fucking see?
Sure already done crushed all of my brothers dignity
And to the jury, can't be no turn is all, my skin looks colored
Does that mean I'm burnt
'Cause your punk ass made it up, your fucking mind was gone
Should've never glorified, wrong
Suck, suck, suck, suck
Suck, suck, suck, suck
Suck, suck, sucking
They fuck with my head
Suck, suck, suck, suck
Suck, suck, suck, suck
Suck, suck, suck
Suck you, bitch

"
Limp,Fiona Apple,anger,"You wanna make me sick;
You wanna lick my wounds
Don't you, baby?
You want the badge of honor when you save my hide
But you're the one in the way
Of the day of doom, baby
If you need my shame to reclaim your pride
And when I think of it, my fingers turn to fists
I never did anything to you, man
No matter what I try, you beat me with your bitter lies
So call me crazy, hold me down
Make me cry; get off now, baby
It won't be long till you'll be lying limp in your own hands
You feed the beast I have within me
You wave the red flag, baby you make it run run run
Standing on the sidelines, waving and grinning
You fondle my trigger, then you blame my gun
And when I think of it, my fingers turn to fists
I never did anything to you, man
But no matter what I try, you'll beat me with your bitter lies
So call me crazy, hold me down
Make me cry; get off now, baby
It won't be long till you'll be lying limp in your own hands
And when I think of it, my fingers turn to fists
I never did anything to you, man
But no matter what I try, you'll beat me with your bitter lies
So call me crazy, hold me down
Make me cry; get off now, baby
It won't be long till you'll be lying limp in your own hands"
Sweet Amber,Metallica,anger,"Wash your back, so you won't stab mine
Get in bed with your own kind
Live your life, so you don't see mine
Drape your back, so you won't shine
Wash your back, so you won't stab mine
Get in bed with your own kind
Live your life, so you don't see mine
Drape your back, so you won't shine
Oh, then she holds my hand
And I lie to get a smile

Oh, then she holds my hand
And I lie to get a smile
Using what I want to get what you want
Using what I want to get what you want
Using what I want to get what you want
Using what I want to get what you want
Oh, sweet Amber
How sweet are you?
How sweet does it get?
How sweet are you?
How sweet does it get?

Chase the rabbit, fetch the stick
She rolls me over 'til I'm sick
She deals in habits, deals in pain
I run away but I'm back again
Chase the rabbit, fetch the stick
She rolls me over till I'm sick
She deals in habits, deals in pain
I run away, but I'm back again
Mmm, then she holds my hand
And I lie to get a smile

Mmm, and she squeezes tighter
I still lie to get a smile
Using what I want to get what you want
Using what I want to get what you want
Using what I want to get what you want
Using what I want to get what you want
Oh, sweet Amber
How sweet are you?
How sweet does it get?
How sweet are you?
How sweet does it get?

She holds the pen that spells the end
She traces me and draws me in
She holds the pen that spells the end
She traces me and draws me in
Oh, sweet Amber (oh, sweet Amber)

Oh, sweet Amber

How sweet are you?
How sweet does it get?
How sweet are you?
How sweet does it get?

It's never as sweet as it seems
"
