track,artist,_2,lyrics
#1,黒木メイサ,Already processed,"Baby, あなたは自信満々で
こっちがちょっと照れちゃうじゃない
何をしてもサマになるのね
悔しいけどやっぱりカッコいい

How manyオンナのコそうやって落としたの?
映画に出てきそうなベタな台詞だって
Why is it? あなたならそんなのもアリなの?
ねぇ、1コ言わせてよ (I gotta say)

(Boy, listen up)
今まで通り自由なスタイルで Go on!
そこも魅力なら
変えないでいいわ
その代わり Here's the Rule

I'll be your Number One! (No other number, number)
あなたの#1(じゃなきゃイヤだイヤだ)
I will be your Number One! (No other number, number)
あなたの#1(それ以外じゃイヤ)
I'll be your Number One!
#1! I just wanna be your oooh...!!
#1! I just wanna be your oooh...!!
オーライ??

どうせ一人じゃ足りないんでしょ
致命的に嫌な癖よ!
誰に対しても優しいのね
ズルいよ本当... 好きになられちゃう

How manyオンナのコそうやって落としたの?
映画に出てきそうなベタな台詞だって
Why is it? あなたならそんなのもアリなの?
ねぇ、1コ言わせてよ (I gotta say)

(Boy, listen up)
今までどんな付き合いしてたって Don't care!
そんなの通用しないわ
テキトーじゃイヤなの!
これだけは Follow my Rule

I'll be your Number One! (No other number, number)
あなたの#1(じゃなきゃイヤだイヤだ)
I will be your Number One! (No other number, number)
あなたの#1(それ以外じゃイヤ)
I'll be your Number One!
#1! I just wanna be your oooh...!!
#1! I just wanna be your oooh...!!
オーライ??

(I wonder why)
今の二人に嘘はないこと I know
なぜか信じられるの
人はわからないでしょう
少しだけ妙な Rule

I'll be your Number One! (No other number, number)
あなたの#1(じゃなきゃイヤだイヤだ)
I will be your Number One! (No other number, number)
あなたの#1(それ以外じゃイヤ)
I'll be your Number One!
#1! I just wanna be your oooh...!!
#1! I just wanna be your oooh...!!
オーライ??"
'round midnight,esbjörn svensson trio,Already processed,LYRICS_NOT_FOUND
100 years,five for fighting,Already processed,"I'm 15 for a moment
Caught in between ten and 20
And I'm just dreaming
Counting the ways to where you are

I'm 22 for a moment
And she feels better than ever
And we're on fire
Making our way back from Mars

15, there's still time for you
Time to buy and time to lose
15, there's never a wish better than this
When you've only got a hundred years to live

I'm 33 for a moment
I'm still the man, but you see I'm a ""they""
A kid on the way, babe
A family on my mind

I'm 45 for a moment
The sea is high
And I'm heading into a crisis
Chasing the years of my life

15, there's still time for you
Time to buy and time to lose yourself within a morning star
15, I'm alright with you
15, there's never a wish better than this
When you've only got a hundred years to live

Half time goes by, suddenly you're wise
Another blink of an eye, 67 is gone
The sun is getting high
We're moving on

I'm 99 for a moment
And dying for just another moment
And I'm just dreaming
Counting the ways to where you are

15, there's still time for you
22, I feel her too
33, you're on your way
Every day's a new day

Ooh-ooh, ooh-ooh-ooh
Ooh-ooh, ooh-ooh-ooh
Ooh-ooh, ooh-ooh-ooh, ooh-ooh-ooh
Ooh

15, there's still time for you
Time to buy and time to choose
Hey, 15, there's never a wish better than this
When you've only got a hundred years to live"
100 years,mason proper,Already processed,"Why do we all grow old?
Why do we buy the seeds of elderly?
I want to break that mold
Fuck aging gracefully, I'm gonna be

kicking and screaming and always dreaming
about tomorrow's fun.
And even after 100 years I'll never feel quite done.

Why even write a will?
'Cause we will never die if we don't
resign to a life fulfilled.
Can't you at least find one space in yourself

that's not been filled, you can't be killed yet
because your book's not done.
And even after 100 years I'll never feel quite done.

Don't live a double life,
shoot many multiples above two.

Oh, we found a greenhouse blown to smithereens
""What a scene,"" said a dark traveling companion
(Kicking, screaming, always dreaming)

That's when I noticed my shadow seemed to have gone missing again
and my best new friend was smiling
I could see every tooth in him

That's when I noticed the foolishness that I'd been harping upon
been going on and on and on
all along"
17,perfume genius,Already processed,"Take everything away
This gnarled, weird face
This ripe swollen shape
I want blank
I want frozen lake
I want deep space

Tuck the whole thing
In the body of a violin
String it up on a fence
Cover it with semen
I am done
I am done with it

Don't
Sing me that song
It
Will only prolong
This"
17,tocotronic,Already processed,"An einem Weihnachtsabend
An dem niemand mich rief

Kam ein Freund in mein Zimmer
In dem ich schon schlief

Er nahm meine Hand
Er war mir bekannt
Seine Stimme war naturgemäß tief

In den Bäumen und in den Sträuchern
Regt sich ein Windhauch und bläst in mein Ohr
Heute bin ich glücklich wie niemals zuvor

Wir hatten was zu reden
Wie er so vor mir steht

Vor meinem Bett in der Ecke
Langsam wurde es spät

Er nahm meine Hand
Er war mir bekannt
Ich wollte nicht daß er geht

In den Bäumen und in den Sträuchern
Regt sich ein Windhauch und bläst in mein Ohr
Heute bin ich glücklich wie niemals zuvor"
1985,manic street preachers,Already processed,"In 1985
I placed a bet and lied
Losing all that I had
At least with all my heart intact

In 1985
Orwell was proved right
Torville and Dean's Bolero
Redundant as a sad Welsh chapel

In 1985
In 1985

So God is dead
Like Nietzsche said
Superstition is all we have left
Circle the wagons, we're under attack
We've realised there's no going back
We've realised there's no going back

In 1985
The civil war failed, why?
Kept hidden like scars of birth
Nature unable to soften the words

In 1985
My words they came alive
Friends were made for life
Morrissey and Mar gave me choice

In 1985
In 1985

So God is dead
Like Nietzsche said
Only 16 years of age, he said
See all the tears for the walking dead
We've realised there's no going back
We've realised there's no going back

In 1985
I placed a bet and lied
Losing all that I had"
23,shakira,Already processed,"Everybody needs an anchor
A little something that makes you stay
An incentive, someone to fight for
'Cause no one really needs so much space

A couple years ago I was lonely
I used to think that there was no God
But then you looked at me with your blue eyes
And my agnosticism turned into dust

How well you know me
That I don't care if the rest don't
It doesn't matter to me, no, oh
As long as you love me
As long as we still have each other

I knew we had something
From the moment I met you
And I knew we had something
No one thought it could be true

Hey, do you believe?
Do you believe in destiny?
'Cause I do as I did then
When you were only 23

God knows that I'm a good dancer
My feet can move to the music he plays
But there were times I asked for an answer
When he was acting in mysterious ways

And there were nights that I stayed up crying
'Cause I was certain that things wouldn't change
But then you came, and I saw you smiling
Just like an angel, so beautifully strange

And then you touched me
It's like you were made for me, oh
Like it was all meant to be, oh
And I was sure that you would love me
And that we'd always have each other

I knew we had something
From the moment I met you
And I knew we had something
No one thought it could be true

Hey, do you believe?
Do you believe in destiny?
'Cause I do as I did then
When you were only 23

Always thought that I was fine, but I was wrong
It was you, that one piece I was missing
And I could do without you, but it'd be no fun
I found you, and life was suddenly easy
There ain't no worries now
There ain't no feeling down

I knew we had something
From the moment I met you
And I knew we had something
No one thought it could be true

Hey, do you believe?
Do you believe in destiny?
'Cause I do as I did then
When you were only 23"
24/7,u.d.o.,Already processed,"I'm Gonna Blow Your Mind
And Push You Higher
I Have My Way To Find
And Nail The Liar
You Want It Cleaner – I Make It Meaner
Anyway You Want
You're Gonna Squeeze It – You're Gonna Please It
Always On The Hunt
Come On And Roll It – So Fucking Hold It – Move Your Ass
Come On And Scream It – We Fucking Mean It – Living Fast
You Know We Live It – 24/7
Twenty-Four Hours – Seven Days A Week
You Know We Give It – 24/7
Twenty-Four Hours – Seven Days A Week
I'm Gonna Kick You Hard
You Want Disaster
We Only Take It Rough
And Tough And Faster
You Want It Cleaner – I Make It Meaner
Right Between The Eyes
You're Gonna Squeeze It – You're Gonna Please It
Always Pay The Price"
5am,amber run,Already processed,"We run into a dark room
And we spasm to the sounds
Of a copy of Morrissey

Or the blues of the Deep South

And the drugs will only hide it

The feeling never really goes
And we won't find love at the bottom
Of a glassy hole

And you don't know what you've got until it's gone
And you don't know who to love until you're lost
And you don't know how to feel until the moment's passed
I wish you'd live like you're made of glass

And we've got work in the morning

But it's nearly 5 a.m.

Is this really what we envisaged?
We won't be 21 again

And in the haze you see colors
And problems suddenly make sense
But the way you've been going
You'll be in an early grave

And you don't know what you've got until it's gone
And you don't know who to love until you're lost
And you don't know how to feel until the moment's passed
I wish you'd live like you're made of glass"
