track,artist,final_emotion,reason,lyrics
Mutherfuker,Beck,anger,Track was not found,
L.A. Blues,The Stooges,anger,Track was not found,
Hollowpoint,Anybody Killa,anger,Track was not found,
Tension,Orbital,anger,Track was not found,
Rattlesnake,Boris,anger,Track was not found,
Buckeye,Lamb of God,anger,Track was not found,
孤独に死す、故に孤独。,DIR EN GREY,anger,Track was not found,
I Love Secret Agents,The Dillinger Escape Plan,anger,Track was not found,
Monticello,The Dillinger Escape Plan,anger,Track was not found,
Andrew,Crystal Antlers,anger,Track was not found,
Cokane in My Brain,Die Toten Hosen,anger,Track was not found,
Schools Are Prisons,Sex Pistols,anger,Track was not found,
Speedball,John Zorn,anger,Track was not found,
羅刹国,DIR EN GREY,anger,Track was not found,
Getdafucout,Onyx,anger,Track was not found,
Cop Killer,Body Count,anger,Track was not found,
Electronic Battle Weapon 9,The Chemical Brothers,anger,Track was not found,
Blitz,Schelmish,anger,Track was not found,
Damone,Deftones,anger,Track was not found,
Statement,Boris,anger,Track was not found,
Must Attack,Extrawelt,anger,Track was not found,
This Love You Breathe,Eyes Set to Kill,anger,Track was not found,
Super Bitch,Authority Zero,anger,Track was not found,
Yuppie Cadillac,Jello Biafra with The Melvins,anger,Track was not found,
AFX 114,Caustic Window,anger,Track was not found,
Transylvania Blues,Silver Jews,anger,Track was not found,
Optimisitic,Radiohead,anger,Track was not found,
Happy Fucking Birthday,Combichrist,anger,Track was not found,
I Want Love (Studio Mix),Mary Elizabeth McGlynn,anger,Track was not found,
Mondo Anthem,Chrome,anger,Track was not found,
The Monitors,Chrome,anger,Track was not found,
Bag Lady,Manic Street Preachers,anger,Track was not found,
Dust,Crystal Antlers,anger,Track was not found,
Anne Boleyn,The Pastels,anger,Track was not found,
Turned Around,Chrome,anger,Track was not found,
Buildings,Honey is Cool,anger,Track was not found,
Vexation,Crystal Antlers,anger,Track was not found,
Zero Time,Chrome,anger,Track was not found,
Schwarzwaldklinik,Die Toten Hosen,anger,Track was not found,
Daremo Inai Ie,ムック,anger,Track was not found,
Dead on It,Prince,anger,Track was not found,
Dub,Pylon,anger,Track was not found,
Tentacles,Crystal Antlers,anger,Track was not found,
Appendage,Nine Inch Nails,anger,Track was not found,
Knuckle Up,Snowgoons,anger,Track was not found,
Precaution,Pylon,anger,Track was not found,
The Immortal Ones,Hate Forest,anger,Track was not found,
Месяц,Агата Кристи,anger,Track was not found,
Ruiner,Unter Null,anger,Track was not found,
The Golden,Shinichi Osawa,anger,Track was not found,
gentou sanka,ムック,anger,Track was not found,
Not Even Dead,Dimension Zero,anger,Track was not found,
Take It Or Leave It,Arctic Monkeys,anger,Track was not found,
Arcturus,Crystal Antlers,anger,Track was not found,
Morituri Salutant,Heimataerde,anger,Track was not found,
Boom Blast,Freestylers,anger,Track was not found,
Look Away,Sepultura,anger,Track was not found,
Последнее желание,Агата Кристи,anger,Track was not found,
Hör varningen!,Martyrdöd,anger,Track was not found,
Cavern of Mind,Saviours,anger,Track was not found,
Hadrons,Lento,anger,Track was not found,
Finale Vollendung,Straftanz,anger,Track was not found,
Abel to Cain,D'espairsRay,anger,Track was not found,
The Wolf,Jedi Mind Tricks,anger,Track was not found,
Slip it to the Android,Chrome,anger,Track was not found,
Cobrastyle,Teddy Bears,anger,Track was not found,
Take Me to Your Leader,Hanzel und Gretyl,anger,Track was not found,
Violet,Fuck...I'm Dead,anger,Track was not found,
All of This for You,Joy Division,anger,Track was not found,
Deshumanization,Tamtrum,anger,Track was not found,
Wardrobe,Einstürzende Neubauten,anger,Track was not found,
Magnetic Dwarf Reptile,Chrome,anger,Track was not found,
Your Spears,Crystal Antlers,anger,Track was not found,
Puppet,Mankind Is Obsolete,anger,Track was not found,
Aftermath,Dioxyde,anger,Track was not found,
Oskillatah,Skream,anger,Track was not found,
Driving School,Pylon,anger,Track was not found,
Mocking Bird,Eminem,anger,Track was not found,
Hot City Nites,Armand van Helden,anger,Track was not found,
Conquer,Eisenfunk,anger,Track was not found,
In Gefangenschaft,Feindflug,anger,Track was not found,
Where's Bill?,Venetian Snares,anger,Track was not found,
Meet You In the Subway,Chrome,anger,Track was not found,
The Vanishing Prairie,Drowning Pool,anger,Track was not found,
Several Tongues,Crystal Antlers,anger,Track was not found,
Real World,Snowgoons,anger,Track was not found,
The sin,Wynardtage,anger,Track was not found,
Pharoah Chromium,Chrome,anger,Track was not found,
dakukuu,ムック,anger,Track was not found,
Evil Playground,Front Line Assembly,anger,Track was not found,
Broadcast,Corrupt Souls,anger,Track was not found,
Virgin Soil,Illnath,anger,Track was not found,
Oboro no tsuki,D'espairsRay,anger,Track was not found,
End of Days (Pt. 2),Ministry,anger,Track was not found,
MAZE,D'espairsRay,anger,Track was not found,
Streets of London,Sex Pistols,anger,Track was not found,
Top Shelf,Outerspace,anger,Track was not found,
Ananga-Ranga,Merzbow,anger,Track was not found,
Jenny (feat. Spalding Rockwell),Armand van Helden,anger,Track was not found,
last Human,Uberbyte,anger,Track was not found,
Flight on Broken Wings,Eyes Set to Kill,anger,Track was not found,
El Consuelo Final,Amduscia,anger,Track was not found,
Killing of Kings,Secret Chiefs 3,anger,Track was not found,
Power Company,Eric Burdon,anger,Track was not found,
The Hand That Feeds (Dub Mix),Nine Inch Nails,anger,Track was not found,
Eisenfunk,Eisenfunk,anger,Track was not found,
Railways,Juzhin,anger,Track was not found,
Pale forest,Wyrd,anger,Track was not found,
Tanzflaechenmann,Accessory,anger,Track was not found,
Brainwashing (feat. Virgin Killer),Armand van Helden,anger,Track was not found,
Repeat,Acrnym,anger,Track was not found,
Six Inch Gold Blade,The Birthday Party,anger,Track was not found,
Morituri Te Salutant,C-Drone-Defect,anger,Track was not found,
Dusted Decks,The Chemical Brothers,anger,Track was not found,
vengeance,Concord Dawn,anger,Track was not found,
Mindkill,Rotten Sound,anger,Track was not found,
Ubermensch,Angerfist,anger,Track was not found,
Nihilistic Elitist,Jr Ewing,anger,Track was not found,
Obeyer's of their own Death,Xasthur,anger,Track was not found,
Total War,:Wumpscut:,anger,Track was not found,
My War,Henry Rollins,anger,Track was not found,
Pimps of Gennesaret,Grand Belial's Key,anger,Track was not found,
Tonight the City Burns (ft. Cahir O'Doherty & Johnny Black),And So I Watch You From Afar,anger,Track was not found,
Is this the End,Wynardtage,anger,Track was not found,
NY3,Robert Fripp,anger,Track was not found,
Rapid Fire,Testament,anger,Track was not found,
Superloop,I Will Never Be The Same,anger,Track was not found,
Cleaning Out My Closet,Eminem,anger,Track was not found,
Dead Wrong,The Notorious B.I.G.,anger,Track was not found,
Snake Charmer,Rage Against the Machine,anger,Track was not found,
Obsession,Gesaffelstein,anger,Track was not found,
Save Me From Myself,Head,anger,Track was not found,
Arpeggiator,Fugazi,anger,Track was not found,
Pneumonic,Jakob,anger,Track was not found,
Ngised Wen (Main Version),Motograter,anger,Track was not found,
"Hate, Rain on Me",Andrew Jackson Jihad,anger,Track was not found,
Valhalla,30 Seconds to Mars,anger,Track was not found,
Vice Campaign,The Black Dahlia Murder,anger,Track was not found,
Pointless,Dinosaur Jr.,anger,Track was not found,
We Didn't Come Here to Rock,Andrew Jackson Jihad,anger,Track was not found,
The Archer's Bows Are Broken,Brand New,anger,Track was not found,
Single K.O.,Wire,anger,Track was not found,
Delivering the Groceries at 138 Beats per Minute,Don Caballero,anger,Track was not found,
Mother/Father,Swans,anger,Track was not found,
Let's Go (Nothing for Me),New Order,anger,Track was not found,
Olde(y) Tyme(y),Andrew Jackson Jihad,anger,Track was not found,
U And Ur Hand,Pink,anger,Track was not found,
The LSB,Make Model,anger,Track was not found,
A Heavy Hearted Work of Stagge,Anberlin,anger,Track was not found,
Song of the Highwire Shrimper,Tim Hecker,anger,Track was not found,
What I've Learned,Lewis Black,anger,Track was not found,
Top 3 Selected,Ghetto,anger,Track was not found,
Scenesters,Andrew Jackson Jihad,anger,Track was not found,
My Daughter's First Date,David Cross,anger,Track was not found,
Без нас,Дельфин,anger,Track was not found,
Netlon Sentinel,Autechre,anger,Track was not found,
Adagio,Franz Schubert,anger,Track was not found,
She's Not Me,Lana Del Rey,anger,Track was not found,
Because Of All The Things You Say,Comeback Kid,anger,Track was not found,
Heaven's Gate,Lewis Black,anger,Track was not found,
Hand of God,Fall Out Boy,anger,Track was not found,
Sailing Through,Neutral Milk Hotel,anger,Track was not found,
Mississippi River,David Banner,anger,Track was not found,
Moron Bros,Rancid,anger,Track was not found,
Calling,Archive,anger,Track was not found,
God Hates Us All,Slayer,anger,Track was not found,
Next To Nothing,Bowery Electric,anger,Track was not found,
Cold Knees (In April),Don Caballero,anger,Track was not found,
Breathe (remix),Blu Cantrell,anger,Track was not found,
Out of Control,Yo La Tengo,anger,Track was not found,
Seamless  Version (Explicit)),American Head Charge,anger,Track was not found,
"P, P, P, Antless",Don Caballero,anger,Track was not found,
SUBG,Kelly,anger,Track was not found,
Toucher ce vide béant attise ma fascination,Celeste,anger,Track was not found,
El Distorto de Melodica [Instrumental],Everclear,anger,Track was not found,
A Violent Reaction  Version (Explicit)),American Head Charge,anger,Track was not found,
Down a Stair Backward,Oxbow,anger,Track was not found,
Rat In A Cage,The Smashing Pumpkins,anger,Track was not found,
The Sad Witch,Hefner,anger,Track was not found,
Pressure Torture,Venetian Snares,anger,Track was not found,
Ugly Girl,Fiona Apple,neutral,Track was not found,
The Only Ones,Breed77,neutral,Track was not found,
All That I've Got (Amended Album Version),The Used,reflective,Track was not found,
Half Asleep/ Half Awake,Heard,neutral,Track was not found,
Guarded By Monkeys,Cracker,sadness,Track was not found,
Prideland,Eric Burdon & The New Animals,sadness,Track was not found,
Gallows Pole,Leadbelly,sadness,Track was not found,
S.O.S.,Take That,joy,Track was not found,
Madness (Malicious demo),Killing Joke,neutral,Track was not found,
Remember,Heard,neutral,Track was not found,
A Brother's Lament,Let's Lumos!,sadness,Track was not found,
Beautiful Loser,Heard,neutral,Track was not found,
The Dolphin's Cry [acoustic live],Live,neutral,Track was not found,
Drunk and Belligerent,Adam Sapphire,fear,Track was not found,
Hellen Keller,Bald Eagles,neutral,Track was not found,
Enchanted Thoughtfist,Jello Biafra with The Melvins,anger,Track was not found,
Bonus Track 1,dead prez,anger,Track was not found,
Vietnow (live),Rage Against the Machine,anger,Track was not found,
Louie Louie,The Clash,anger,Track was not found,
Buisness,Eminem,anger,Track was not found,
They Want Us To Make A Symphon,Le Tigre,anger,Track was not found,
Scarlet Sunrise,Soilent Green,anger,Track was not found,
The Theme,Kimza International,anger,Track was not found,
Southern Spirit Suite,Soilent Green,anger,Track was not found,
Pledge Of Allegiance,Jello Biafra,anger,Track was not found,
Paper Cut,Soilent Green,anger,Track was not found,
fast forward to the gore,Annihilation Time,anger,Track was not found,
Uuu...,Jyoji,anger,Track was not found,
Cobalto Azul,Jyoji,anger,Track was not found,
Night and Day (Drunk),Kimza International,anger,Track was not found,
Fam (Members Only) ft Rza and,GZA/Genius,anger,Track was not found,
Wholly Bun-Bull,Jello Biafra with The Melvins,anger,Track was not found,
Oishii? (Taste Good?) Feat. Kana Sakaguchi,Kimza International,anger,Track was not found,
Overdrive Generation,Kimza International,anger,Track was not found,
Jonny Machine Music,PENTAGONIC,anger,Track was not found,
Air Mattress,Florian Filsinger,anger,Track was not found,
Talk on Censorship,Jello Biafra,anger,Track was not found,
Lonely One,Kimza International,anger,Track was not found,
99 ovosoK,GeorgeShinshu,anger,Track was not found,
Aha Bullshit,GeorgeShinshu,anger,Track was not found,
I'm Infected with AIDS,GG Allin,anger,Track was not found,
Mind as A Weapon Feat Hellraza,Killah Priest,anger,Track was not found,
Miso Shabu Documentary,Kimza International,anger,Track was not found,
Cyalis,Florian Filsinger,anger,Track was not found,
8 Hour Fake (Prototune),Kimza International,anger,Track was not found,
Further Maths,PENTAGONIC,anger,Track was not found,
Jonny! Never Go Home,PENTAGONIC,anger,Track was not found,
Marinetti,Neo-Rista,anger,Track was not found,
Prison Break,Irving Joseph,anger,Track was not found,
The Dance: The Desert (Part 2),Diamanda Galás,anger,Track was not found,
Sugar On My Tongue,Vinyl Stickons,anger,Track was not found,
How Many Licks (dirty,Lil' Kim,anger,Track was not found,
Neo-rista,Neo-Rista,anger,Track was not found,
The Underflesh,Superjoint Ritual,anger,Track was not found,
Alien Axe,Neo-Rista,anger,Track was not found,
Pick Heads (Intro),Neo-Rista,anger,Track was not found,
You!,Fleshies,anger,Track was not found,
YOAKE,Neo-Rista,anger,Track was not found,
Ge Washa,Neo-Rista,anger,Track was not found,
Indica Trail,Neo-Rista,anger,Track was not found,
Tracy Dick,Neo-Rista,anger,Track was not found,
When The Days Fall,Neo-Rista,anger,Track was not found,
White Beat,Neo-Rista,anger,Track was not found,
Fear Is the Door (Version),Neo-Rista,anger,Track was not found,
Melacholy,Neo-Rista,anger,Track was not found,
Demolition 2,Neo-Rista,anger,Track was not found,
Ocean Pollution,Wouter Bruys,anger,Track was not found,
Plecid,Neo-Rista,anger,Track was not found,
Inbetween,Vinyl Stickons,anger,Track was not found,
Mountains Of You,Vinyl Stickons,anger,Track was not found,
Demolition 1,Neo-Rista,anger,Track was not found,
Paradise Gone,Neo-Rista,anger,Track was not found,
When I Dream,Neo-Rista,anger,Track was not found,
ChinaWhite StarTrek,Neo-Rista,anger,Track was not found,
SHINJUKU,Neo-Rista,anger,Track was not found,
Mr. TACHIBANA,Neo-Rista,anger,Track was not found,
