track,artist,final_emotion
'Till I Collapse,Eminem,anger
St. Anger,Metallica,anger
Speedin',Rick Ross,anger
Bamboo Banga,M.I.A.,anger
Die MF Die,Dope,anger
Step Up,Drowning Pool,anger
Feedback,Kanye West,anger
7 Words,Deftones,anger
Limp,Fiona Apple,anger
Sweet Amber,Metallica,anger
Depression,Black Flag,anger
Comprachicos,Pendulum,anger
When Girls Telephone Boys,Deftones,anger
Two Words,Kanye West,anger
What I See,Black Flag,anger
Requiem,Lamb of God,anger
Room 13,Black Flag,anger
Shake Ya Ass,Mystikal,anger
Combat,Deftones,anger
Glue Man,Fugazi,anger
Boom Boom,The Animals,anger
Boys Wanna Be Her,Peaches,anger
No More,Black Flag,anger
Death Trend Setta,Crossfade,anger
Padded Cell,Black Flag,anger
Angel Duster,Run the Jewels,anger
Cancer,Sick Puppies,anger
Knives and Pens,Black Veil Brides,anger
Mutherfuker,Beck,anger
I'm the One,Seether,anger
This Spiteful Snake,Meshuggah,anger
I'm Crying,The Animals,anger
Cuckoo for Caca,Faith No More,anger
The Coming Of Spring,The Rapture,anger
Custer,Slipknot,anger
Welcome To The Fold,Filter,anger
Black,Sevendust,anger
Feather in a Baseball Cap,Architecture in Helsinki,anger
Chartered Trips,Hüsker Dü,anger
Meth Vs. Chef,Method Man,anger
Brinx Job,Pavement,anger
Damaged Goods,La Dispute,anger
Nothing's Wrong,Architecture in Helsinki,anger
Underwater,Architecture in Helsinki,anger
Got That Feeling,Faith No More,anger
L.A. Blues,The Stooges,anger
Tabloid Junkie,Michael Jackson,anger
Hush Hush; Hush Hush,The Pussycat Dolls,anger
Beautiful,Sevendust,anger
Accelerator,Primal Scream,anger
#1 Hit Song,Minutemen,anger
Debbie,Architecture in Helsinki,anger
Sanctuary,Cavalera Conspiracy,anger
Blunt After Blunt,Danny Brown,anger
Full Disclosure,Fugazi,anger
Thru the Walls,Death Grips,anger
It's So Easy,Willy DeVille,anger
Lazy (Lazy),Architecture in Helsinki,anger
Wollt Ihr Das Bett In Flammen,Rammstein,anger
It's Expected I'm Gone,Minutemen,anger
Melody of Certain Three,Blonde Redhead,anger
A Nation On Fire,Machine Head,anger
Kill All the White People,Type O Negative,anger
Killer In You,Limp Bizkit,anger
Furor Divinus,Behemoth,anger
Out Of My Way,Seether,anger
Project Mayhem,Finch,anger
Kerosene,Big Black,anger
What If We Could,Blue October,anger
That's All Lies,Jet,anger
In The City,Kevin Rudolf,anger
Biggest & The Best,Clawfinger,anger
"Hey, Cruel World...",Marilyn Manson,anger
Enlightened By The Cold,Shadows Fall,anger
Glow,Coal Chamber,anger
Invaders Must Die,Prodigy,anger
The Subtle Arts of Murder and Persuasion,Lamb of God,anger
New Radio,Bikini Kill,anger
You Could Easily Have Me,Metronomy,anger
Requiem,Avenged Sevenfold,anger
Strip Tease,Danity Kane,anger
Shit From an Old Notebook,Minutemen,anger
Army Of The Sun,Roadrunner United,anger
Fuck You,Damageplan,anger
Skinny Little Bitch,Hole,anger
Outsider Intro,DJ Shadow,anger
Self vs Self,Pendulum,anger
Tired Of Being Alive,Danzig,anger
Roadblox,The Prodigy,anger
Fuck The World,Turbonegro,anger
Shameful Metaphors,Chevelle,anger
Suffer in Truth,Meshuggah,anger
Wasted Life,Stiff Little Fingers,anger
The Beltsville Crucible,Thrice,anger
Archives Of Pain,Manic Street Preachers,anger
Come to Daddy,Aphex Twin,anger
Fields of Desolation,Arch Enemy,anger
Surviving the Times,Nas,anger
Arise Again,Soulfly,anger
The Roar of the Masses Could Be Farts,Minutemen,anger
Straitjacket,Alanis Morissette,anger
Power to the People,Public Enemy,anger
Thy Horror Cosmic,The Black Dahlia Murder,anger
Die (And Die Now),DevilDriver,anger
Annihilation By The Hands Of God,Roadrunner United,anger
A Visit To The Gynecologyst,Dr. Octagon,anger
Itsari,Sepultura,anger
Lethal Dosage,Mudvayne,anger
Black Me Out,Against Me!,anger
Damage,Ol' Dirty Bastard,anger
A Lesson Lived Is A Lesson Learned,Hatebreed,anger
Turn on the News,Hüsker Dü,anger
Sanctity Of Brothers,Unearth,anger
Wasting Away,Nailbomb,anger
Something Told Me,Coal Chamber,anger
Sweat Loaf,Butthole Surfers,anger
The Enemy,Roadrunner United,anger
Home Nucleonics,Strapping Young Lad,anger
Rock 'n' Roll Nigger,Marilyn Manson,anger
The Politics of Time,Minutemen,anger
Lie to Purify,Unearth,anger
The Rape Over,Mos Def,anger
Black Fire Upon Us,Dethklok,anger
Black History Month,Saul Williams,anger
I Broke Up,Xiu Xiu,anger
Don't Pray on Me,Bad Religion,anger
Supernaut,1000 Homo DJs,anger
I Am Hell (Sonata in C#),Machine Head,anger
Piss Up a Rope,Ween,anger
The Skank Heads,Skunk Anansie,anger
Out Of Phase,Sugarcult,anger
Quick Death,Transplants,anger
Pills,Primal Scream,anger
Waiting to Die,(hed) Planet Earth,anger
Shut Up and Swallow,Combichrist,anger
Giga Dance,Deerhoof,anger
Bacdafucup,Onyx,anger
Untitled Song for Latin America,Minutemen,anger
Hollowpoint,Anybody Killa,anger
Convict Colony,Saul Williams,anger
A Arte do Insulto,Matanza,anger
Delusions of Grandeur,From Autumn To Ashes,anger
59 Times the Pain,Hüsker Dü,anger
Mass Obliteration,Suffocation,anger
Muerte,Jedi Mind Tricks,anger
Punchlines,Mates of State,anger
Небомореоблака,Zемфира,anger
Asteroid,Killing Joke,anger
Impossible Is Nothing,Divine Heresy,anger
Consequence,Strapping Young Lad,anger
Bleak,Soulfly,anger
FYR,Le Tigre,anger
Ibitsu,Boris,anger
Man on a Wire,Garbage,anger
Destroy What Destroys You,Kreator,anger
Everybody Know Me (Explicit Album Version),Boyz N Da Hood,anger
Afraid of Me,Twiztid,anger
The Formative Years,Atheist,anger
"The Red, White And Blues",Defeater,anger
Spine,Machine Head,anger
Standing Ovation,Young Jeezy,anger
She Bathed Herself In A Bath Of Bleach,Manic Street Preachers,anger
I Don't Know What You're Talking About,Hüsker Dü,anger
One Step,Coal Chamber,anger
TATI,6ix9ine,anger
Deliverance,Gojira,anger
State of Emergency,Stiff Little Fingers,anger
For Whom The Bells Tolls,Metallica,anger
Learn to Listen,Ramones,anger
You'll Rebel To Anything,Mindless Self Indulgence,anger
The Saga Begins,Rakim,anger
Motorcycle Ride,Rancid,anger
This Threat Is Real,Divine Heresy,anger
Not Ready To Die,Demon Hunter,anger
Because of You,Skunk Anansie,anger
Habeas Corpses (Draconian Love),El-P,anger
Unhinged,Eels,anger
Oxygen,Aesop Rock,anger
This Is My Head Exploding,Disco Ensemble,anger
Acid Annie,Natalia Kills,anger
Some Stupid Tomorrow,Type O Negative,anger
P.C.P.,Manic Street Preachers,anger
Lockdown,Less Than Jake,anger
Coma,Stone Temple Pilots,anger
This Will Outlive Us,Darkest Hour,anger
A Congealed Clot Of Blood,Carcass,anger
The Rich Man,Roadrunner United,anger
Dawn of a Golden Age,Roadrunner United,anger
All Is Vanity,Manic Street Preachers,anger
Die Motherfucker Die,Suicide Commando,anger
The Preacher,Diablo,anger
Kadonneet kolme sanaa,Stam1na,anger
Born Again Anarchist,Soulfly,anger
Don't Believe A Word,Carcass,anger
Cats Van Bags,Atmosphere,anger
Here We Are Nowhere,Stiff Little Fingers,anger
Merestä Maalle,Stam1na,anger
No Way Out,Roadrunner United,anger
Juggalo Family,Dark Lotus,anger
Warren,Slint,anger
Stillness,Shadows Fall,anger
1 Nite Stand,Taproot,anger
Coup D'Etat,Refused,anger
The Face of Oblivion,High on Fire,anger
Easy,Voxtrot,anger
Rabia,Nonpoint,anger
Elysium,Lisa Gerrard,anger
Here Comes the Gravediggaz,Gravediggaz,anger
Kem Khefa Khesef,Nile,anger
Every Time,Pennywise,anger
You Ignore Them All,Raised Fist,anger
You'll Find Safety,Architects,anger
Those Who Cannot Speak,Shadows Fall,anger
Put Your Head Out,House of Pain,anger
Juggalo Anthem,Blaze Ya Dead Homie,anger
Scars of the Crucifix,Jedi Mind Tricks,anger
Act Of Contrition,Shadows Fall,anger
Passing Out In America,Alexisonfire,anger
Transformer,Marnie Stern,anger
Twist the Knife (Slowly),Napalm Death,anger
Stillborn,Sleep,anger
Marlon J.D.,Manic Street Preachers,anger
Feed The Gods,White Zombie,anger
Bite Me,Electric Six,anger
Low Down,The Rolling Stones,anger
Tension,Orbital,anger
Far Side,Ünloco,anger
Sun Ra,dEUS,anger
Life's on the Line,50 Cent,anger
You Know What You Are,Nine Inch Nails,anger
Alligator,Foxboro Hot Tubs,anger
Moses,Soulfly,anger
Pain,Stereomud,anger
The Lie You Bleed For,Heaven Shall Burn,anger
Pahaa verta,Mokoma,anger
Villainy Thrives,Trivium,anger
Do You Believe Her,The Raveonettes,anger
The Bite and Sting,Defeater,anger
Couch Slouch,D.R.I.,anger
War Is My Sheppard,Exodus,anger
The Act We Act,Sugar,anger
What About,Janet Jackson,anger
Devils,Motörhead,anger
Godpuppet,The Haunted,anger
Slain,Cannibal Corpse,anger
Goin' Down,Melanie C,anger
"It's Dylan, You Know The Drill",Boys Night Out,anger
Never Leave A Job Half Done,Pedro the Lion,anger
I Punched a Lion in the Throat,Pulled Apart By Horses,anger
Some Of These Times,Raised Fist,anger
Run Overdrive,Civil Civic,anger
Get This Right!,Raised Fist,anger
More Human Than Human (Meet Bambi in the King's Harem mix),White Zombie,anger
Low,Architects,anger
Honey of Generation,Seven Mary Three,anger
Humiliative,Meshuggah,anger
Crumbled,Sevendust,anger
I Put a Spell on You,The Animals,anger
Reise Reise,Rammstein,anger
Better Than This,Salt The Wound,anger
Rattlesnake,Boris,anger
Buckeye,Lamb of God,anger
As Thick As Thieves,Dry Kill Logic,anger
Sunlight,Raised Fist,anger
Plastic Bomb,Poison Idea,anger
Law and Order,Stiff Little Fingers,anger
Murder Sermon,Whitechapel,anger
The Ritual,Saul Williams,anger
That's What It Is,Immortal Technique,anger
The Carpathians,Ben Frost,anger
White Noise,Stiff Little Fingers,anger
Built For War,Megadeth,anger
Stray Bullet,Organized Konfusion,anger
A Passage In Time,Authority Zero,anger
Steve Berman (skit),D12,anger
Desolate Spheres,Obscura,anger
The Way It Is (live remix),The Prodigy,anger
Juke-Joint Jezebel,KMFDM,anger
Pressure,Swollen Members,anger
Infinite Rotation,Obscura,anger
Рюмка Водки На Столе,Григорий Лепс,anger
Specialist,Sage Francis,anger
Highwire,The Rolling Stones,anger
Razorblade,Blue October,anger
Read My Scars,Diablo,anger
Breakout,Stiff Little Fingers,anger
Exterminate Annihilate Destroy,Rotersand,anger
孤独に死す、故に孤独。,DIR EN GREY,anger
Watershed,Coal Chamber,anger
Качели,7раса,anger
Forced Life,Chimaira,anger
Take the Mirror,White Lung,anger
Rammstein (Eskimos & Egypt Radio Edit),Rammstein,anger
Floaters In Mud,Sepultura,anger
I Love Secret Agents,The Dillinger Escape Plan,anger
Cold Ascending,Neurosis,anger
Ложь,Lumen,anger
Rough Trade,Stiff Little Fingers,anger
Dread Prevailed,The Red Chord,anger
Save Your Soul,She Wants Revenge,anger
Damien,Diablo,anger
Paha arkkitehti,Stam1na,anger
I Should've Known Better,Nickel Creek,anger
Heat,DMX,anger
Growin' Up,Ice Cube,anger
The Repellent Scars of Abandon and Election,Deathspell Omega,anger
Damage,Non-Prophets,anger
Bad Child,Annihilator,anger
I Don't Wanna Go Out,Graham Coxon,anger
Cosmogenesis,Obscura,anger
Smoke Ya Later,The Acacia Strain,anger
Figure It Out,Maroon 5,anger
Out On Bail,2Pac,anger
Rise,Primal Scream,anger
Unfulfilled,Quicksand,anger
Monticello,The Dillinger Escape Plan,anger
Nothing Dreadful Ever Happens,Every Time I Die,anger
Talkin' 'Bout You,The Animals,anger
"Snap Your Fingers, Snap Your Neck",Demon Hunter,anger
2nd Hand Smoke,Twiztid,anger
The Next Time I Go,Sinking Ships,anger
Harmonic,Unwritten Law,anger
Back In The Mud,Bubba Sparxxx,anger
Film Critiques and Militia Men,The Red Chord,anger
Trampoline,The Grates,anger
Brother,Gil Scott-Heron,anger
What's The Matter Man,Rollins Band,anger
On Your Way Down,Stabbing Westward,anger
Wth>You (Chairman Hahn ft. Aceyalone),Linkin Park,anger
So I Quit,Filter,anger
No Captures,Sodom,anger
44 Magnum Opus,Exodus,anger
Andrew,Crystal Antlers,anger
Our Endless War,Whitechapel,anger
Explode,Trash Talk,anger
Beyond Fate,Cult of Luna,anger
Unconscious,Sepultura,anger
Apocalyptic Havoc,Goatwhore,anger
Closer to ideal,D'espairsRay,anger
Rippin' Me Off,Skillet,anger
People Say I'm No Good,Charles Manson,anger
Suffocate,Motograter,anger
American Trash,Innerpartysystem,anger
Key is a Fact That a Cat Brings,Melt-Banana,anger
Cokane in My Brain,Die Toten Hosen,anger
Schools Are Prisons,Sex Pistols,anger
Ride Or Die,Doomriders,anger
Kill The Music Industry,Cold,anger
What U See Is What U Get,Xzibit,anger
The Hives - Declare Guerre Nucleaire,The Hives,anger
A Chronology for Survival,Neurosis,anger
Who's The Man,House of Pain,anger
Queen of Entity,Diablo,anger
鬼眼 -kigan-,DIR EN GREY,anger
Can I Run,L7,anger
If Your Gonna,Natasha Bedingfield,anger
Preacher Crawling,Pig Destroyer,anger
Can't Stop,Suicidal Tendencies,anger
Last Man Standing,People In Planes,anger
The Fight Song (Slipknot remix),Marilyn Manson,anger
American Cliche,Filter,anger
Send The Death Storm,The Red Chord,anger
Nostalgic Pushead,Manic Street Preachers,anger
The Entrance to the Spheres of Mars,Behemoth,anger
The Boys (English Ver.),소녀시대,anger
Not Your Business,Atari Teenage Riot,anger
Hatred Aside,Sepultura,anger
Giveth,The Chariot,anger
Stop At Nothing,Dying Fetus,anger
Like Herod (Alec Empire's Face the Future remix),Mogwai,anger
Speedball,John Zorn,anger
Big Riff,Cave In,anger
