track,artist,final_emotion,lyrics,reason
How to Be Eaten by a Woman,The Glitch Mob,anger,,LYRICS_NOT_FOUND
Flaphead,Aphex Twin,anger,,LYRICS_NOT_FOUND
Undoing a Luciferian Towers,Godspeed You! Black Emperor,anger,,LYRICS_NOT_FOUND
"Anthem for No State, Pt. III",Godspeed You! Black Emperor,anger,,LYRICS_NOT_FOUND
$$ Troopers,Huoratron,anger,,LYRICS_NOT_FOUND
Gene Wilder,Chelsea Wolfe,anger,,LYRICS_NOT_FOUND
RAT,MASS OF THE FERMENTING DREGS,anger,,LYRICS_NOT_FOUND
Ultra Marine Blues,Merzbow,anger,,LYRICS_NOT_FOUND
Brutal,NorthBorne,anger,,LYRICS_NOT_FOUND
She's on Drugs (Seduced by CHAINREACTOR),Alien Vampires,anger,,LYRICS_NOT_FOUND
Road to Lisdoonvarna,Erutan,anger,,LYRICS_NOT_FOUND
Do I Smile?,t+pazolite,anger,,LYRICS_NOT_FOUND
VII -instrumental-,志方あきこ,anger,,LYRICS_NOT_FOUND
Non Combustible Waste,USAO,anger,,LYRICS_NOT_FOUND
Otho,Alesia,anger,,LYRICS_NOT_FOUND
Bloody Serenade,t+pazolite vs RoughSketch,anger,,LYRICS_NOT_FOUND
Into the Zone,Howard Drossin,anger,,LYRICS_NOT_FOUND
full throttle,Prodigy,neutral,,LYRICS_NOT_FOUND
Saltarello,Corvus Corax,neutral,,LYRICS_NOT_FOUND
Higher State of Consciousness,Josh Wink,excitement,,LYRICS_NOT_FOUND
Hadashi no megami,B'z,reflective,,LYRICS_NOT_FOUND
Swamp Thing,Grid,neutral,,LYRICS_NOT_FOUND
Underground Chamber,Buckethead,excitement,,LYRICS_NOT_FOUND
Phantom - Part II Boys Noize Remix,Justice,neutral,,LYRICS_NOT_FOUND
The Game Has Changed,Daft Punk,excitement,,LYRICS_NOT_FOUND
Canon,Justice,excitement,,LYRICS_NOT_FOUND
"Be Comfortable, Creature",Explosions in the Sky,excitement,,LYRICS_NOT_FOUND
We Swarm,The Glitch Mob,excitement,,LYRICS_NOT_FOUND
Ancestors,Björk,excitement,,LYRICS_NOT_FOUND
Set Guitars to Kill,And So I Watch You From Afar,excitement,,LYRICS_NOT_FOUND
