track,artist,final_emotion
4039,Dry Kill Logic,anger
45,Elvis Costello,anger
463,Buck 65,anger
1923,Marissa Nadler,sadness
404,Decapitated,excitement
3007,Сплин,excitement
9,Daturah,excitement
9,Sunny Day Real Estate,excitement
2010,Cornelius,excitement
4001,Squarepusher,reflective
1919,坂本龍一,anger
53100,Café Tacvba,sadness
3,Bohren & der Club of Gore,sadness
672,The Dresden Dolls,reflective
5,Interpol,fear
306,Emilie Autumn,fear
9,Sedativ,sadness
506,The Leather Nun,sadness
1130,Mattafix,fear
95,The Berzerker,fear
999,Agonoize,fear
3,Sunburned Hand of the Man,fear
5,Gas,fear
24,Emmy the Great,neutral
1926,Thalia Zedek,sadness
16,Nebulo,reflective
124,Photek,reflective
85,Rilo Kiley,sadness
24101999,Brothomstates,reflective
1842,Samamidon,calm
17,Youth Lagoon,joy
23,Blonde Redhead,reflective
156,Mew,reflective
6,Grouper,sadness
599,Ida,calm
926,Dave Fischoff,romantic
36,Christina Rosenvinge,reflective
1976,Alan Jackson,calm
59,Jacky Terrasson,calm
85,Kazooka,calm
1001,Mouse on Mars,sadness
3,Florent Ghys,neutral
39,Tenacious D,reflective
39,The Cure,neutral
17,Tocotronic,excitement
57821,Janelle Monáe,sadness
23,Jimmy Eat World,excitement
3030,Deltron 3030,excitement
528491,Hans Zimmer,excitement
2112,Rush,excitement
9,Drake,excitement
17,Avril Lavigne,joy
99,London After Midnight,joy
2,The Helter Scelter,reflective
1985,Bowling for Soup,joy
1234,Feist,joy
1976,RJD2,joy
6,Tarmvred,joy
6667,ROLETTA SECOHAN,joy
12,Baaba,joy
225,New Model Army,excitement
115,Muchachito Bombo Infierno,joy
1971,Son Cats,reflective
1529,Yade,reflective
707,Aleatorix,sadness
212,Intertwisting Opposition,sadness
3005,4hero,reflective
2004,N-1,joy
2007,N-1,joy
2006,N-1,joy
2046,Blu Mar Ten,excitement
136,Midival Punditz,neutral
848,a finely-tailored jitbag,excitement
3,Britney Spears,romantic
1991,Azealia Banks,romantic
1,Steve Reich,reflective
555,Emiliano Mendoza,reflective
123,Photek,reflective
101,Alicia Keys,calm
1985,French Kicks,calm
80,Alexandroid,joy
23,Shakira,reflective
555,Jimmy Eat World,reflective
1987,Saul Williams,reflective
2013,DJ Muggs vs. Ill Bill,reflective
2129,Alabama 3,reflective
808,HipGnosis,joy
88,Leæther Strip,reflective
2,PsyOpus,neutral
2012,Aversions Crown,neutral
3685,The Spill Canvas,joy
42,Coldplay,sadness
505,Arctic Monkeys,sadness
3055,Ólafur Arnalds,sadness
187,Dr. Dre,neutral
1993,Sigur Rós,sadness
1985,Manic Street Preachers,sadness
1997,Hateen,sadness
100,Brandi Carlile,reflective
1963,Rachael Yamagata,joy
24,Switchfoot,excitement
333,The Velvet Teen,excitement
360,Josh Hoge,reflective
4645,RADWIMPS,joy
110,People You Meet,sadness
2012,Lifeisround,joy
222,Kiss Kate,calm
1998,Chet Faker,joy
2000,Alaska & Paradox,reflective
20,Илья Черт,reflective
18,Moby,reflective
17,Perfume Genius,reflective
1992,Blur,sadness
3030,Del Tha Funkee Homosapien,sadness
1983,Jimi Hendrix,reflective
5,Willow Smith,joy
1980,RX Bandits,excitement
1994,Quasimoto,joy
108,Skincage,excitement
29,Kruzr Ken,neutral
1972,Josh Rouse,calm
Black Coffee Blues (San Franci,Henry Rollins,neutral
