track,artist
""" - adaiagio",edvard grieg
""" - allegro moderato molto e marcato",edvard grieg
"""...nightmares away from the moon""",life toward twilight
"""...sudden stars""",stereolab
"""1812"" overture",pyotr ilyich tchaikovsky
"""air"" from suite no.3",roswitha randacher/carlos rivera
"""and from this chasm, with ceaseless turmoil seething""",our last hope lost hope
"""anniversary"" piano concerto in c minor",yoshiki
"""c"" moon cry like a baby",simple minds
"""cosmos"" from dissidia final fantasy",your favorite enemies
"""dirty movies""",van halen
"""don't beat your wife every night!""",raymond scott
"""en gallop""",joanna newsom
"""forbidden""",d'espairsray
"""from now on we are enemies"" - bonus track",fall out boy
"""gettin' it started"" (feat. cedric the entertainer & la la)",nelly
"""god is god""",laibach
"""heroes"" [single version]",david bowie
"""heroes""",david bowie
"""leave home perfect enemy""(t.a.t.u. vs. chemical brothers vs. keane)",thehomogenicchaos
"""let me sleep""",david julyan
"""light mass prayers""",porcupine tree
"""mache dich, mein geist, bereit"" bwv 115: recitative (tenor): ""er sehnet sich nach unserm schreien""",ton koopman
"""meet el presidente""",duran duran
"""my sword hand's anger""",apostle of hustle
"""no one else""",amel larrieux
"""one"" remix",orealkid
"""pindrops""",the pindrop band
"""saturn"" call signs",syntetika
"""schau, lieber gott, wie meine feind"" bwv 153: recitative (alto): ""mein liebster gott""",ton koopman
"""schweigt stille plauder nicht"" bwv 211: aria (soprano): ""ei! wie schmeckt der coffe süße""",ton koopman
"""serious"" feat az",nas
"""she wouldn't even know it was me""",cacogen
"""the boy next door""",it's my party
"""this is me.""",michael giacchino
"""this peculiar phenomenon""",life toward twilight
"""to the club""",spankox
"""x""",xzibit
"""yeah"" is what we had",grandaddy
"""yeah, we did it!""",the red chord
"""you got a killer scene there, man...""",queens of the stone age
#006: wax treatment podcast,dj pete
#012: wax treatment podcast,dj pete
#1 bad boy,poison
#1 crush (re-mastered 07),garbage
#1 crush,garbage
#1 hit song,minutemen
#1 must have,sleater-kinney
#10,spambient
#11,spambient
#12,spambient
#13,spambient
#14,spambient
#15,spambient
#181: the friendly man,chicago public radio
#1,animal collective
#1,spambient
#1,石井妥師
#1,黒木メイサ
#2 pencil,melvins
#253: middle of nowhere,this american life
#259 trance around the world with above & beyond,above & beyond
#268: my experimental phase,this american life
#2,spambient
#347: matchmakers,this american life
#34,dave matthews band
#370: ruining it for the rest of us,chicago public radio
#38: simulated worlds,this american life
#394: bait and switch,this american life
#3,spambient
#400: stories pitched by our parents,this american life
#41 (dave matthews band),paul farris
#41,dave matthews and tim reynolds
#4,aphex twin
#4,spambient
#5,spambient
#61: fiasco!,this american life
#6,spambient
#7,spambient
#88,lo-fang
#8,spambient
#93 - sweatin' to the indies,episode #93 - cbc radio 3
#9,spambient
#?@! yourself,steve vai
#beautiful,mariah carey
#getitright,miley cyrus
$$ troopers,huoratron
$$$$,desaparecidos
$10 a pile (ax version),melt-banana
$20,m.i.a.
"&quot;hey, it's your funeral mama&quot;",alexisonfire
'27',j perkin
'68 aka only time,lemon jelly
'72,lovebugs
'74 '75,the connells
'74-'75,the connells
'75 aka stay with you,lemon jelly
'76 aka stay with you,lemon jelly
'95 (make things right),lemon jelly
'97 bonnie & clyde,tori amos
'97 bonnie and clyde,tori amos
'bluejays and cardinals',the mountain goats
'cause i'm a man,one foot in
'cause i'm a man,tame impala
'cause we've ended as lovers,jeff beck
'coffee' cantata (excerpts),johann sebastian bach
'cross the breeze,sonic youth
'cross the green mountain (from gods and generals soundtrack),bob dylan
'cuz i can,p!nk
'drifters',the dandelion war
'k heb je lief,paul de leeuw
'lectro chunk,stir fry
'moon on the sedge',dominic g. ward
'reality' strikes,kev the poet aka kp the hip-hop bard
'round midnight (live version),dexter gordon
'round midnight,amy winehouse
'round midnight,anne guus teerhuis trio
