track,artist,reason
#1,石井妥師,Already processed
#1,黒木メイサ,Already processed
'round midnight,anne guus teerhuis trio,Already processed
'round midnight,esbjörn svensson trio,Already processed
07,enigma,Already processed
100 years,five for fighting,Already processed
100 years,mason proper,Already processed
17,perfume genius,Already processed
17,tocotronic,Already processed
1985,manic street preachers,Already processed
23,shakira,Already processed
24/7,u.d.o.,Already processed
3,florent ghys,Already processed
3,sunburned hand of the man,Already processed
5am,amber run,Already processed
5,willow smith,Already processed
9,sedativ,Already processed
9,sunny day real estate,Already processed
[untitled],interpol,Already processed
[untitled],neutral milk hotel,Already processed
[untitled],richard devine,Already processed
[untitled],tarentel,Already processed
a dream,lou reed & john cale,Already processed
a million years,david gray,Already processed
a million years,teddy geiger,Already processed
a song for you,carpenters,Already processed
a song for you,christina aguilera,Already processed
abide with me,the priests,Already processed
about you,the jesus and mary chain,Already processed
absence,infantjoy,Already processed
absence,tineidae,Already processed
absence,wise children,Already processed
absolution,the academy is...,Already processed
accelerator,therapy?,Already processed
adagio,yehudi menuhin,Already processed
adam,me'shell ndegéocello,Already processed
addicted,marc almond,Already processed
addiction,infekktion,Already processed
addiction,kanye west,Already processed
adrenaline,the gathering,Already processed
adrift,tycho,Already processed
adult,klute,Already processed
afraid,espers,Already processed
afraid,j moss,Already processed
africa,karl wolf,Already processed
after all,pink turns blue,Already processed
after all,sondre lerche,Already processed
after dark,le tigre,Already processed
after dark,tito & tarantula,Already processed
after the fall,throbbing gristle,Already processed
after the rain,jaïa,Already processed
after the rain,nemodog,Already processed
after the rain,xyz,Already processed
afterglow,garbage,Already processed
afterglow,inxs,Already processed
afterglow,phaeleh,Already processed
afterglow,steve gorn,Already processed
afterglow,vanessa carlton,Already processed
aftermath,control alt deus,Already processed
aftermath,"dub elements, gancher & ruin",Already processed
aftermath,finch lyndale,Already processed
aftermath,"fuck, the retarded girl",Already processed
aftermath,marc shaiman,Already processed
aftermath,shores of elysium,Already processed
again,janet jackson,Already processed
again,jon foreman,Already processed
again,lilian hak,Already processed
agnus dei,arvo pärt,Already processed
agnus dei,john rutter,Already processed
agnus dei,luigi cherubini,Already processed
agnus dei,mylène farmer,Already processed
agnus dei,orchestral manoeuvres in the dark,Already processed
agnus dei,rufus wainwright,Already processed
agnus dei,the sixteen,Already processed
agnus dei,thomas tallis,Already processed
agnus dei,vagrancy,Already processed
agnus dei,william byrd,Already processed
agnus dei,シカタ★アキコ,Already processed
agnus dei,志方あき,Already processed
agnus dei,志方あきこ (shikata akiko),Already processed
agua,manzanita,Already processed
air,ben folds five,Already processed
air,midival punditz,Already processed
air,people you meet,Already processed
air,sparta,Already processed
alabama,john coltrane,Already processed
albatross,judy collins,Already processed
albatross,slowdive,Already processed
albatross,the shadows,Already processed
alibi,the mountain goats,Already processed
alice,mylène farmer,Already processed
alice,pogo,Already processed
alice,tom waits,Already processed
alive,bee gees,Already processed
alive,condition one,Already processed
alive,d'malicious,Already processed
alive,flaque,Already processed
alive,goldfrapp,Already processed
alive,jennifer lopez,Already processed
alive,jessie j,Already processed
alive,lifeisround,Already processed
alive,sherwood,Already processed
alive,sia,Already processed
all i need,awolnation,Already processed
all i need,brian thiessen,Already processed
all i need,christina aguilera,Already processed
all i need,my bloody valentine,Already processed
all i need,radiohead,Already processed
all i see,lydia,Already processed
all i wanna do,sheryl crow,Already processed
all i wanna do,the school,Already processed
all i want is you,miguel,Already processed
all i want,kodaline,Already processed
all i want,the supremes,Already processed
all my friends,our lady peace,Already processed
all my friends,west indian girl,Already processed
all my life,k-ci & jojo,Already processed
all my life,shayne ward,Already processed
all night,f(x),Already processed
all of me,nurse with wound,Already processed
all over now,the cranberries,Already processed
all tomorrow's parties,the velvet underground,Already processed
allegretto,ludwig van beethoven,Already processed
allegro vivace,georges bizet,Already processed
alleluia,lumina vocal ensemble,Already processed
alleluia,magna canta,Already processed
all,collective soul,Already processed
all,colour haze,Already processed
all,k's choice,Already processed
almost,tracy chapman,Already processed
alone,ben harper & the innocent criminals,Already processed
alone,buckcherry,Already processed
alone,colin newman,Already processed
alone,current 93,Already processed
alone,depeche mode,Already processed
alone,dinosaur jr.,Already processed
alone,forgotten tomb,Already processed
alone,hioctan,Already processed
alone,immundus,Already processed
alone,jesse cook,Already processed
alone,kay stone,Already processed
alone,low,Already processed
alone,marshmello,Already processed
alone,mary j. blige,Already processed
alone,modus,Already processed
alone,ohio players,Already processed
alone,qed,Already processed
alone,st. vincent,Already processed
alone,swing out sister,Already processed
alpha centauri,in strict confidence,Already processed
alright,five for fighting,Already processed
alright,hothouse flowers,Already processed
alright,john legend,Already processed
alright,supergrass,Already processed
alright,zap mama,Already processed
always,bon jovi,Already processed
always,gravity kills,Already processed
always,junip,Already processed
always,kalliope,Already processed
always,kenny g,Already processed
always,lifeisround,Already processed
always,rilo kiley,Already processed
amazing grace,aretha franklin,Already processed
amazing grace,cat power and dirty delta blues,Already processed
amazing grace,daniel kobialka,Already processed
amazing grace,ebc worship live,Already processed
amazing grace,goldmund,Already processed
amazing grace,jeff beck,Already processed
amazing grace,joan baez,Already processed
amazing grace,johnny cash,Already processed
amazing grace,judy collins,Already processed
amazing grace,leann rimes,Already processed
amazing grace,patsy cline,Already processed
amazing grace,pete seeger & arlo guthrie,Already processed
amazing grace,r. carlos nakai,Already processed
amazing grace,ray charles,Already processed
amazing grace,sarah brightman,Already processed
amazing grace,the pipes and drums and military band of the royal scots dragoon guards,Already processed
amazing,one eskimo,Already processed
amber,afro celt sound system,Already processed
amber,mannheim steamroller,Already processed
amber,the residents,Already processed
amen,spacemen 3,Already processed
america,dusty kid,Already processed
america,simon & garfunkel,Already processed
america,xylø,Already processed
amnesia,blotted science,Already processed
amnesia,chumbawamba,Already processed
amnesia,dead can dance,Already processed
amnesia,k-rino,Already processed
amnesia,the mekons,Already processed
amnesia,vagrancy,Already processed
amnesia,志方あきこ,Already processed
amsterdam,bellowhead,Already processed
amsterdam,coldplay,Already processed
amsterdam,diamanda galás,Already processed
amsterdam,guster,Already processed
amsterdam,john cale,Already processed
amsterdam,rick ross,Already processed
amsterdam,the dresden dolls,Already processed
amy,mark ronson,Already processed
amy,pedal steel transmission,Already processed
an ending (ascent),brian eno with daniel lanois and roger eno,Already processed
an interlude,the decemberists,Already processed
ancestors,gonjasufi,Already processed
andalucia,john cale,Already processed
andalucia,tb schenck,Already processed
angel eyes,sting,Already processed
angel's redemption,essence,Already processed
angels,flight of the conchords,Already processed
angels,morandi,Already processed
angels,nick cave,Already processed
angels,stroke 9,Already processed
angels,the xx,Already processed
angels,xe-none,Already processed
angel,:wumpscut:,Already processed
angel,acylum,Already processed
angel,ashelyn summers,Already processed
angel,dave matthews band,Already processed
angel,fifth harmony,Already processed
angel,gotthard,Already processed
angel,jack johnson,Already processed
