track,artist,final_emotion,reason,lyrics
Famous Last Words,Peter Hammill,sadness,Already processed
Orion,Mindscape & Jade,sadness,Already processed
Bad Boy,gomorrans,sadness,Already processed
Should Have Known,Midnight Movies,sadness,Already processed
The Tower,Golem,sadness,Already processed
Phantasmagoria,Torture Garden,sadness,Already processed
Don't Cry,Adam Again,sadness,Already processed
Hall of Records,James Call!,sadness,Already processed
Void,Pappa & Gilbey,sadness,Already processed
Dust,Ainslie Henderson,sadness,Already processed
It Ain't Easy,Brad,sadness,Already processed
Morning,victoria-dei-gra,sadness,Already processed
Hospital,Michael Knott,sadness,Already processed
Breakfast of Champions,Tokyo 2005,sadness,Already processed
Sequoia,Cartoon Physics,sadness,Already processed
The Road,Cabinet of Natural Curiosities,sadness,Already processed
Silence,Skyrocket Love,sadness,Already processed
Ghosts,greenwelter,sadness,Already processed
Place Of Rest,Rob McCormack,sadness,Already processed
Unravel,Matt Ford,sadness,Already processed
Bliss,Temperament,sadness,Already processed
Dear Jane,Destruction Junkie,sadness,Already processed
Slower,Yeah Wednesday,sadness,Already processed
Goodbye,Rob McCormack,sadness,Already processed
Shame,OMD,sadness,Already processed
Deliver Me,"Beloved, The",sadness,Already processed
Bad,Matthew Dekay Vs Proluctors,sadness,Already processed
Final Solution,Peter Murphy & Trent Reznor,sadness,Already processed
Shake,Kristen Hersh,sadness,Already processed
Touch,Bright Eyes,reflective,Already processed
Elizabeth,Team Sleep,reflective,Already processed
The Preacher,Jamie N Commons,neutral,Already processed
I Want Love (Studio Mix),Akira Yamaoka,neutral,Already processed
Desperate,Stanfour,reflective,Already processed
Day of the Lords,16 Horsepower,fear,Already processed
Don't Go,Matthew Sweet,sadness,Already processed
Deutsch Nepal,Amon Düül II,fear,Already processed
S.O.S.,The Helio Sequence,fear,Already processed
Familiar,Incubus & DJ Greyboy,fear,Already processed
Desperate,The Killers,excitement,Already processed
Gun,Atomica,neutral,Already processed
Mystery,Phil Wickham,neutral,Already processed
Vampires,Fastball,neutral,Already processed
Hope,Munchi,reflective,Already processed
Hangman,Madder Mortem,neutral,Already processed
Suicide Note,Ramin Djawadi,sadness,Already processed
The Stranger,Tuxedomoon,neutral,Already processed
Fade Away,Haram,fear,Already processed
Desperate,Joy Williams,fear,Already processed
