track,artist,final_emotion,reason
Home,Jordan Zevon,sadness,Already processed
Them,The Jim Carroll Band,sadness,Already processed
Masters Of War,José Feliciano,neutral,Already processed
Big Wheels Roll,Mark Heard,neutral,Already processed
Ain't Got No Home,Jimmy Carl Black,sadness,Already processed
Threw It Away,Mark Heard,neutral,Already processed
"It Takes a Lot to Laugh, It Takes a Train to Cry",Al Kooper; Steve Stills,sadness,Already processed
Saved,Devendra Banhart,sadness,Already processed
Don't Let Us Get Sick,Jill Sobule,sadness,Already processed
Señorita,Tenacious D,neutral,Already processed
Quantum Leap,Tenacious D,neutral,Already processed
Running The World,Jarvis,sadness,Already processed
James Call's Peter and the Wolf,German Cars Vs American Homes,reflective,Already processed
Here We Go,Arab Strap,sadness,Already processed
Intro,Aaliyah,sadness,Already processed
Before,Contriva,reflective,Already processed
Quality Time,Susannah McCorkle,sadness,Already processed
Intro,Ying Yang Twins,reflective,Already processed
One,Al Kooper,neutral,Already processed
Your Honor,Kill Kenada,excitement,Already processed
Fragile,Sting / Gordon Sumner,excitement,Already processed
Metamorphosis,Pet Shop Boys,reflective,Already processed
I Believe,The Real Tuesday Weld,reflective,Already processed
Work It Out,Brassy,reflective,Already processed
Heaven Knows,Rinaldi Sings,reflective,Already processed
Night Train,Amos Lee,reflective,Already processed
Untitled,Animal Collective,sadness,Already processed
Rise,The Frames,neutral,Already processed
Jenny,Sleater-Kinney,sadness,Already processed
Ritual,Meshuggah,sadness,Already processed
Faded,Afghan Whigs,joy,Already processed
Interlude,Sharks Keep Moving,neutral,Already processed
Jealousy,Liz Phair,sadness,Already processed
Fernand,Jacques Brel,sadness,Already processed
Going Home,Dire Straits,neutral,Already processed
Apollo,We Plants Are Happy Plants,neutral,Already processed
Call Me,Throwing Muses,sadness,Already processed
Drowning,Jay Brannan,sadness,Already processed
Furious,Throwing Muses,neutral,Already processed
Isolation,Lyrinx,neutral,Already processed
Princesa,Feelms,reflective,Already processed
Wasting Away,Mark Owen,sadness,Already processed
Monster,King Brothers,sadness,Already processed
Aria,5th Projekt,neutral,Already processed
Hurricane,5th Projekt,reflective,Already processed
Messenger,Blonde Redhead/David Sylvian,neutral,Already processed
Runaway,Amber Pacific Feat. Mike Herrera Of MxPx,sadness,Already processed
Say Goodbye,Dave Matthews and Tim Reynolds,sadness,Already processed
Hare Krishna,Placebo,neutral,Already processed
Om Namah Shivaya,Krishna Das,reflective,Already processed
Boundaries,My Dad Is Dead,sadness,Already processed
Never Alone,Vanessa Bell Armstrong,neutral,Already processed
Om Mani Padme Hum,Jonathan Goldman,sadness,Already processed
